,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.0549779068299457,,0.837788187746854,,2.3098681650566006,
AD,3,2,0.0172116315280057,,0.7229013854930725,,1.733053928429293,
AD,3,3,0.03165661014041,,0.8825654923215899,,2.3473359402181533,
AD,3,4,0.0103893606793783,,0.7310302282541641,,1.594095283111174,
AD,3,5,0.0151059167275383,,0.7640232108317214,,1.8638909249901416,
AD,4,1,0.011974081041536,,0.7593516209476309,,2.1873092816417063,
AD,4,2,0.0132202994196224,,0.7536115569823435,,1.970635884045315,
AD,4,3,0.0151499375260308,,0.8144329896907216,,1.590858658775251,
AD,4,4,0.011719747466298,,0.749060856498873,,1.7886734386930625,
AD,4,5,0.0114265927977839,,0.7777777777777778,,2.2745802172430327,
AD,5,1,0.0179884325066169,,0.771117166212534,,1.5659601579538047,
AD,5,2,0.0167942176870748,,0.7890295358649789,,1.944734979368478,
AD,5,3,0.0269973407330327,,0.8715203426124197,,2.9714979487150326,
AD,5,4,0.0134118790929108,,0.8059701492537313,,2.1095132860550683,
AD,5,5,0.0206764433875016,,0.805111821086262,,1.671374010718202,
AD,6,1,0.0218855712351013,,0.7074738815965711,,1.7421026902088366,
AD,6,2,0.0160104019096043,,0.8181818181818182,,1.972089749738503,
AD,6,3,0.011609977324263,,0.74609375,,1.3766352329166696,
AD,6,4,0.012787396975201,,0.7801570306923626,,2.0238187843776374,
AD,6,5,0.0243648479800083,,0.811965811965812,,1.3791504554669138,
AD,7,1,0.012620728836945,,0.7331189710610932,,1.7127749420507594,
AD,7,2,0.018763007284079,,0.6724436741767764,,1.4888901349133357,
AD,7,3,0.0196983687288396,,0.734375,,1.1792766944604327,
AD,7,4,0.0186368859523125,,0.838150289017341,,2.177499972005317,
AD,7,5,0.0158186983471074,,0.7836734693877551,,2.0222843042587915,
AD,8,1,0.0160288188247736,,0.7690721649484537,,1.8663530871699312,
AD,8,2,0.033179012345679,,0.9011627906976744,,2.70588280198172,
AD,8,3,0.0103139381985535,,0.6912350597609562,,1.528384196935692,
AD,8,4,0.0154813412655489,,0.7554585152838428,,1.81803569130193,
AD,8,5,0.0184726843580455,,0.7373558118899733,,1.698311060527241,
AD,9,1,0.0283553875236294,,0.7866666666666666,,2.075592313578175,
AD,9,2,0.0247419010323958,,0.8705035971223022,,1.9009461351670984,
AD,9,3,0.026218820861678,,0.8513513513513513,,2.0088069264704087,
AD,9,4,0.011549961419753,,0.7244258872651357,,1.7419483962471276,
AD,9,5,0.0257655258829978,,0.7872340425531915,,1.1167245073087884,
AD,10,1,0.0192093675908453,,0.8219983207388749,,2.058734044800761,
AD,10,2,0.0176049083125386,,0.8257477243172952,,1.777100470795601,
AD,10,3,0.0266206282022722,,0.8410041841004184,,2.106352166102689,
AD,10,4,0.0168376858824738,,0.7907585004359198,,2.1998889399934383,
AD,10,5,0.0180017585265398,,0.8097686375321337,,2.1851927041293804,
AD,11,1,0.0136627405917839,,0.7157275021026073,,1.4580672734807834,
AD,11,2,0.0171423037190082,,0.7288135593220338,,1.854088011160914,
AD,11,3,0.0274836406900654,,0.78008658008658,,2.315489582084223,
AD,11,4,0.0116943050435113,,0.6933694848410156,,1.7277451955830752,
AD,11,5,0.0371738312643206,,0.7405703771849126,,1.8170346406515585,
AD,12,1,0.0164207175925925,,0.6490455212922174,,1.6793897468611951,
AD,12,2,0.0160870470637234,,0.7152103559870551,,2.075572857100979,
AD,12,3,0.0304967129291453,,0.7904191616766467,,1.7983043647091317,
AD,12,4,0.0163262608235838,,0.7813765182186235,,1.5897071280773332,
AD,12,5,0.0215664872595882,,0.787085514834206,,1.9876370457534696,
AD,13,1,0.0216086434573829,,0.7091503267973857,,1.720683491021162,
AD,13,2,0.0169742222222222,,0.7142857142857143,,1.6960848233259385,
