,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.019604342884742578,0.008521470774069808,0.0096234442805759,0.013709077652876898,0.01717696762350695,0.0216360235999508,0.0549779068299457,100.0,0.768362205894252,0.05356819082675456,0.6490455212922174,0.7288042157980303,0.7659867984493416,0.8053264031281293,0.9011627906976744,100.0,1.8042572909929218,0.40003844102226227,0.9228063975853574,1.5185106814301028,1.793488901701097,2.0325475994834186,2.9714979487150326
Control,100.0,0.0625053654782728,0.042329129347856424,0.0232096806189248,0.036392283312360225,0.0457895475951081,0.06374163904565674,0.2422127933399022,100.0,0.864229518415495,0.052162248058436285,0.6842105263157895,0.8338620871524809,0.8730027548209367,0.8996340480393843,0.9655172413793104,100.0,2.325849945040079,0.5809900739296514,0.7219280948873623,1.9601534959752867,2.400785547708634,2.7035114342166264,3.578536721725667
MCI,105.0,0.03630412467681044,0.0195133376274561,0.0105324870985554,0.0224197266864913,0.0307669441141498,0.0435693039857227,0.110350211038475,105.0,0.7923528406575319,0.06725607170063327,0.5808270676691729,0.7450980392156863,0.7887323943661971,0.8411437648927721,0.9580494037478704,105.0,1.9581104884005331,0.5429111686347341,0.7219280948873623,1.640223928941852,1.8892763722679349,2.3065424028221075,3.8209774443814974
