,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.0806716323696503,,0.897339593114241,,2.7017846957565537,
AD,3,2,0.0236361851056965,,0.7507418397626113,,1.7855199075721526,
AD,3,3,0.0398352826789442,,0.9081119885139984,,2.568851948521605,
AD,3,4,0.0159141163275116,,0.7325815545710833,,1.872224624475552,
AD,3,5,0.0227611395178962,,0.7612323491655969,,1.9830428664561284,
AD,4,1,0.0173340499865627,,0.7131782945736435,,2.1407671988314143,
AD,4,2,0.0202495517193816,,0.7568771286350537,,2.1165994285988075,
AD,4,3,0.0199396084964598,,0.7885117493472585,,1.8028082454264167,
AD,4,4,0.0168267749121679,,0.7488226059654631,,2.0283845009822663,
AD,4,5,0.014350569405971,,0.7640750670241286,,1.983091485737946,
AD,5,1,0.025781786099402,,0.7756653992395437,,1.6677160251908696,
AD,5,2,0.0219671201814058,,0.7516129032258064,,2.0496520518567323,
AD,5,3,0.0360157243611978,,0.9149277688603532,,2.885959472796044,
AD,5,4,0.0178014813120192,,0.7983935742971887,,2.2148658626951456,
AD,5,5,0.0258950984277975,,0.798469387755102,,1.7287390162191738,
AD,6,1,0.0355222813055127,,0.7603564944710348,,1.93743602645637,
AD,6,2,0.0227250674377534,,0.7967549103330487,,2.098482833919842,
AD,6,3,0.0160997732426303,,0.7126760563380282,,1.420031636782378,
AD,6,4,0.0177161581219594,,0.7836166924265843,,1.96970737182246,
AD,6,5,0.0329029571012078,,0.7974683544303798,,1.9178115145357253,
AD,7,1,0.0164353542731921,,0.6962962962962963,,2.032584786653988,
AD,7,2,0.0284859521331945,,0.7100456621004566,,1.6263716296031998,
AD,7,3,0.0266235764850723,,0.7745664739884393,,1.1236638172550228,
AD,7,4,0.02298190175237,,0.8359375,,2.2441655399882845,
AD,7,5,0.021823347107438,,0.742603550295858,,1.9471191059934667,
AD,8,1,0.022043757022936,,0.7631184407796102,,1.992834772950211,
AD,8,2,0.0411844135802469,,0.8758782201405152,,2.769377863453161,
AD,8,3,0.0156558185404339,,0.6640419947506562,,1.501548505855337,
AD,8,4,0.0196051919956733,,0.7793103448275862,,1.6138854952455088,
AD,8,5,0.026668196495599,,0.7480024585125998,,1.830058520836139,
AD,9,1,0.0390170132325141,,0.8032945736434108,,2.24431736569756,
AD,9,2,0.0311498754004984,,0.7942857142857143,,1.89727270935206,
AD,9,3,0.0346513605442176,,0.8650306748466258,,2.244409410952231,
AD,9,4,0.0183256172839506,,0.7105263157894737,,1.9538553799425864,
AD,9,5,0.0318740700133134,,0.7936117936117936,,1.5061562981912229,
AD,10,1,0.0273705262818341,,0.8314672952268709,,2.529414186549749,
AD,10,2,0.0238318719809528,,0.8174831892411143,,2.053900119639701,
AD,10,3,0.0374248162174203,,0.8065476190476191,,2.184186929483288,
AD,10,4,0.0237078140367874,,0.788235294117647,,2.154822494059747,
AD,10,5,0.0231847841177287,,0.7844311377245509,,2.525328254930575,
AD,11,1,0.0204653835104854,,0.7439640651319483,,1.7817109336885053,
AD,11,2,0.0244705578512396,,0.75,,1.9033732779250687,
AD,11,3,0.0348126115407495,,0.7963089542036911,,2.1965413210346423,
AD,11,4,0.0190446816422182,,0.7081882851521114,,1.8354442710997871,
AD,11,5,0.0594712903115488,,0.7826336975273146,,2.1850637566306577,
AD,12,1,0.0251012731481481,,0.6695485110470701,,1.653817793202929,
AD,12,2,0.0221782590587255,,0.7488262910798122,,1.950495340987248,
AD,12,3,0.0420014609203798,,0.7869565217391304,,1.9627741339951104,
AD,12,4,0.0217793641351047,,0.7921092564491654,,1.962346879622037,
AD,12,5,0.0283413000112913,,0.7715803452855245,,1.8096118743159453,
AD,13,1,0.0338959113056987,,0.7739583333333333,,1.7380380754061335,
AD,13,2,0.0261191111111111,,0.7451674380615301,,1.863509813566397,
