x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.113863,0.847443,0.0,2025-01-20 17:10:23.896,0.0,0.0,-42.47507,38.218729999999994,0.0,0.0,0.0,0.0,38.19625309025916
0.107379,0.850471,0.0,2025-01-20 17:10:24.007,111.0,111.0,-43.18831,38.551809999999996,-0.713239999999999,0.3330800000000025,0.7871807822857467,7.091718759331052,38.19625309025916
0.115362,0.852854,0.0,2025-01-20 17:10:24.135,239.0,128.0,-42.310179999999995,38.81394,0.8781300000000059,0.2621300000000062,0.9164193547716097,7.159526209153201,38.19625309025916
0.116948,0.854576,0.0,2025-01-20 17:10:24.257,361.0,122.0,-42.13572,39.00336,0.17445999999999628,0.18941999999999837,0.2575193740284371,2.1108145412166976,38.19625309025916
0.108886,0.852398,0.0,2025-01-20 17:10:24.380,484.0,123.0,-43.02254,38.76378,-0.8868200000000002,-0.23958000000000368,0.9186121536317718,7.468391492941235,38.19625309025916
0.073871,0.847677,0.0,2025-01-20 17:10:24.502,606.0,122.0,-46.87419,38.24447,-3.8516499999999994,-0.5193099999999973,3.8865010740510533,31.856566180746338,38.19625309025916
0.046648,0.858468,0.0,2025-01-20 17:10:24.624,728.0,122.0,-49.868719999999996,39.43148,-2.9945299999999975,1.1870100000000008,3.22121136546486,26.403371848072624,38.19625309025916
0.026281,0.874978,0.0,2025-01-20 17:10:24.746,850.0,122.0,-52.10909,41.247580000000006,-2.2403700000000057,1.8161000000000058,2.884003631568457,23.639374029249648,38.19625309025916
0.022962,0.881862,0.0,2025-01-20 17:10:24.869,973.0,123.0,-52.474180000000004,42.00482,-0.36509000000000214,0.7572399999999959,0.8406563660021825,6.83460460164376,38.19625309025916
0.024036,0.885833,0.0,2025-01-20 17:10:24.991,1095.0,122.0,-52.35604,42.441629999999996,0.11814000000000391,0.43680999999999415,0.4525041830745831,3.709050680939206,38.19625309025916
0.127174,0.886835,0.0,2025-01-20 17:10:25.235,1339.0,244.0,-41.01086,42.55185,11.34518,0.11022000000000531,11.345715388674263,46.49883356014042,38.19625309025916
0.122806,0.883613,0.0,2025-01-20 17:10:25.357,1461.0,122.00000000000011,-41.49134,42.19743,-0.48048,-0.3544200000000046,0.59705491104253,4.893892713463356,38.19625309025916
0.129101,0.895451,0.0,2025-01-20 17:10:25.480,1584.0,123.0,-40.79889,43.49961,0.6924500000000009,1.30218,1.4748422813643502,11.990587653368701,38.19625309025916
0.133124,0.89171,0.0,2025-01-20 17:10:25.602,1706.0,121.99999999999989,-40.356359999999995,43.0881,0.442530000000005,-0.4115099999999998,0.6042956900392424,4.953243360977401,38.19625309025916
0.116662,0.882337,0.0,2025-01-20 17:10:25.724,1828.0,122.00000000000011,-42.16718,42.05707,-1.8108200000000068,-1.0310299999999941,2.0837686851711763,17.080071189927658,38.19625309025916
0.113073,0.877111,0.0,2025-01-20 17:10:25.846,1950.0,121.99999999999989,-42.56197,41.482209999999995,-0.3947900000000004,-0.5748600000000081,0.6973687429903994,5.71613723762623,38.19625309025916
0.165493,0.885622,0.0,2025-01-20 17:10:25.968,2072.0,122.00000000000011,-36.79577,42.418420000000005,5.766200000000005,0.9362100000000098,5.84170793553564,47.88285193061997,38.19625309025916
0.135617,0.866076,0.0,2025-01-20 17:10:26.091,2195.0,122.99999999999977,-40.08213,40.268359999999994,-3.286360000000002,-2.1500600000000105,3.9272025734866363,31.928476207208483,38.19625309025916
0.095983,0.862672,0.0,2025-01-20 17:10:26.213,2317.0,122.00000000000033,-44.44187,39.89392,-4.359740000000002,-0.3744399999999928,4.375790006524538,35.867131201020705,38.19625309025916
0.095324,0.865599,0.0,2025-01-20 17:10:26.335,2439.0,121.99999999999989,-44.514359999999996,40.21589,-0.07248999999999484,0.3219700000000003,0.33002951534673297,2.7051599618584694,38.19625309025916
0.234455,0.899119,0.0,2025-01-20 17:10:26.457,2561.0,121.99999999999989,-29.209950000000003,43.90309,15.304409999999994,3.687199999999997,15.742312704558367,129.0353500373638,38.19625309025916
0.236349,0.90147,0.0,2025-01-20 17:10:26.579,2683.0,121.99999999999989,-29.001609999999996,44.161699999999996,0.20834000000000685,0.25860999999999734,0.33209138456154125,2.7220605291929636,38.19625309025916
0.239373,0.904115,0.0,2025-01-20 17:10:26.702,2806.0,123.00000000000023,-28.668969999999998,44.45265,0.3326399999999978,0.29095000000000226,0.44192903514025855,3.592918984880144,38.19625309025916
0.241524,0.895723,0.0,2025-01-20 17:10:26.825,2929.0,122.99999999999977,-28.432360000000003,43.52953000000001,0.23660999999999532,-0.9231199999999902,0.9529610834131579,7.747651084659834,38.19625309025916
0.180544,0.785251,0.0,2025-01-20 17:10:26.947,3051.0,122.00000000000033,-35.140159999999995,31.377610000000004,-6.707799999999992,-12.151920000000004,13.880336470215697,113.77324975586606,38.19625309025916
0.187214,0.788333,0.0,2025-01-20 17:10:27.068,3172.0,121.0,-34.40646,31.716629999999995,0.7336999999999918,0.3390199999999908,0.8082389809950902,6.679660999959423,38.19625309025916
0.217687,0.899266,0.0,2025-01-20 17:10:27.190,3294.0,121.99999999999989,-31.054430000000004,43.91926,3.352029999999999,12.202630000000006,12.65465463921478,103.72667737061305,38.19625309025916
0.221012,0.90797,0.0,2025-01-20 17:10:27.313,3417.0,122.99999999999977,-30.68868,44.87670000000001,0.365750000000002,0.9574400000000054,1.0249216633967748,8.332696450380299,38.19625309025916
0.2224,0.915058,0.0,2025-01-20 17:10:27.435,3539.0,122.00000000000033,-30.536,45.656380000000006,0.15268000000000015,0.779679999999999,0.7944885680738261,6.512201377654295,38.19625309025916
0.132261,0.896025,0.0,2025-01-20 17:10:27.557,3661.0,121.99999999999989,-40.45129000000001,43.562749999999994,-9.915290000000006,-2.0936300000000116,10.133916437439188,83.06488883146883,38.19625309025916
0.119688,0.889919,0.0,2025-01-20 17:10:27.679,3783.0,121.99999999999989,-41.83432,42.89109,-1.3830299999999909,-0.6716599999999957,1.5374976866649164,12.602440054630474,38.19625309025916
0.115455,0.88602,0.0,2025-01-20 17:10:27.801,3905.0,121.99999999999989,-42.29995,42.4622,-0.46563000000000443,-0.42888999999999555,0.6330544439461746,5.188970852017829,38.19625309025916
0.113401,0.886536,0.0,2025-01-20 17:10:27.924,4027.9999999999995,122.99999999999977,-42.525890000000004,42.51896,-0.22594000000000136,0.056759999999997035,0.23296047132507325,1.8939875717485664,38.19625309025916
0.096658,0.880322,0.0,2025-01-20 17:10:28.046,4150.0,122.00000000000077,-44.367619999999995,41.835420000000006,-1.8417299999999912,-0.6835399999999936,1.9644837297620865,16.102325653787496,38.19625309025916
0.097898,0.886601,0.0,2025-01-20 17:10:28.168,4272.0,121.99999999999989,-44.23122,42.526109999999996,0.13639999999999475,0.6906899999999894,0.7040295704727066,5.770734184202519,38.19625309025916
0.087679,0.876724,0.0,2025-01-20 17:10:28.291,4395.0,122.99999999999933,-45.355309999999996,41.43964,-1.1240899999999954,-1.0864699999999985,1.5633283049314965,12.709986218955326,38.19625309025916
0.077277,0.848311,0.0,2025-01-20 17:10:28.413,4517.0,122.00000000000077,-46.49953,38.31421,-1.1442200000000042,-3.1254299999999944,3.3282956739598686,27.281112081638096,38.19625309025916
0.062878,0.905921,0.0,2025-01-20 17:10:28.658,4762.0,244.9999999999992,-48.083420000000004,44.651309999999995,-1.5838900000000038,6.337099999999992,6.532039799488358,26.661386936687265,38.19625309025916
0.06532,0.880052,0.0,2025-01-20 17:10:28.780,4884.0,122.00000000000077,-47.8148,41.805719999999994,0.26862000000000563,-2.8455900000000014,2.8582405693888,23.42820138843264,38.19625309025916
0.24316,0.887067,0.0,2025-01-20 17:10:28.902,5006.0,121.99999999999989,-28.2524,42.57737,19.562399999999997,0.7716500000000082,19.577613171234635,160.47223910848075,38.19625309025916
0.246057,0.894761,0.0,2025-01-20 17:10:29.025,5129.0,122.99999999999933,-27.933730000000004,43.42371,0.31866999999999734,0.8463399999999979,0.9043461530299086,7.352407748210679,38.19625309025916
0.201424,0.749841,0.0,2025-01-20 17:10:29.147,5251.0,122.00000000000077,-32.843360000000004,27.482509999999998,-4.90963,-15.941200000000002,16.68011763078726,136.72227566218982,38.19625309025916
0.109193,0.673082,0.0,2025-01-20 17:10:29.269,5373.0,121.99999999999989,-42.98877,19.039019999999994,-10.145409999999998,-8.443490000000004,13.1993131430465,108.19109133644682,38.19625309025916
0.092033,0.659674,0.0,2025-01-20 17:10:29.391,5495.0,121.99999999999989,-44.876369999999994,17.56414,-1.887599999999992,-1.4748799999999953,2.3954758972696752,19.635048338276047,38.19625309025916
0.08137,0.655156,0.0,2025-01-20 17:10:29.513,5617.0,121.99999999999989,-46.0493,17.067159999999994,-1.172930000000008,-0.4969800000000042,1.2738735829351446,10.441586745370047,38.19625309025916
0.211112,0.682467,0.0,2025-01-20 17:10:29.636,5740.0,123.00000000000023,-31.777680000000004,20.071370000000005,14.271619999999999,3.004210000000011,14.584389433517607,118.57227181721609,38.19625309025916
0.218499,0.691949,0.0,2025-01-20 17:10:29.758,5862.0,121.99999999999989,-30.96511,21.114390000000004,0.8125700000000045,1.0430199999999985,1.3221802922824117,10.83754337936404,38.19625309025916
0.219575,0.696876,0.0,2025-01-20 17:10:29.880,5984.0,121.99999999999989,-30.846750000000004,21.656360000000006,0.11835999999999558,0.5419700000000027,0.5547436980263967,4.547079492019649,38.19625309025916
0.186121,0.674067,0.0,2025-01-20 17:10:30.003,6107.0,123.00000000000023,-34.52669,19.147369999999995,-3.6799399999999984,-2.5089900000000114,4.453873507824402,36.21035372214954,38.19625309025916
0.238782,0.6827,0.0,2025-01-20 17:10:30.125,6229.0,121.99999999999989,-28.73398,20.096999999999998,5.792710000000003,0.9496300000000026,5.87003290288905,48.115023794172586,38.19625309025916
0.275902,0.686817,0.0,2025-01-20 17:10:30.246,6350.0,120.99999999999955,-24.65078,20.549870000000002,4.083199999999998,0.4528700000000043,4.108237271251502,33.95237414257453,38.19625309025916
0.312905,0.917228,0.0,2025-01-20 17:10:30.491,6595.0,121.99999999999989,-20.580450000000003,45.89508000000001,4.0703299999999984,25.345210000000005,25.66996798309262,22.09240682323872,38.19625309025916
0.32655,0.914423,0.0,2025-01-20 17:10:30.614,6718.0,123.00000000000023,-19.0795,45.586529999999996,1.5009500000000031,-0.308550000000011,1.532336126638022,12.458017289739992,38.19625309025916
0.307309,0.884448,0.0,2025-01-20 17:10:30.858,6962.0,243.99999999999977,-21.19601,42.28928,-2.1165100000000017,-3.2972499999999982,3.9180954739005527,16.057768335658018,38.19625309025916
0.295141,0.888807,0.0,2025-01-20 17:10:30.980,7084.0,121.99999999999989,-22.53449,42.76877,-1.3384800000000006,0.4794900000000055,1.4217733189577046,11.653879663587754,38.19625309025916
0.304514,0.888375,0.0,2025-01-20 17:10:31.102,7206.0,122.00000000000077,-21.50346,42.721250000000005,1.0310300000000012,-0.047519999999998674,1.0321245134672474,8.460036995633123,38.19625309025916
0.328065,0.890681,0.0,2025-01-20 17:10:31.225,7329.0,122.99999999999933,-18.91285,42.974909999999994,2.5906100000000016,0.25365999999998934,2.6029989565307172,21.162593142526273,38.19625309025916
0.203722,0.679479,0.0,2025-01-20 17:10:31.469,7573.0,122.00000000000077,-32.59058,19.742690000000007,-13.677730000000004,-23.232219999999987,26.9595315998127,28.145167212436412,38.19625309025916
0.273622,0.760534,0.0,2025-01-20 17:10:31.622,7726.0,152.99999999999957,-24.901580000000003,28.658740000000005,7.689,8.916049999999998,11.773558026463366,76.95135965008757,38.19625309025916
0.282377,0.786511,0.0,2025-01-20 17:10:31.746,7850.0,123.99999999999966,-23.93853,31.516209999999994,0.9630500000000026,2.8574699999999886,3.0153938554357937,24.31769238254679,38.19625309025916
0.309067,0.903608,0.0,2025-01-20 17:10:31.868,7972.0,122.00000000000077,-21.002630000000003,44.396879999999996,2.9358999999999966,12.880670000000002,13.21102450451516,108.2870861025826,38.19625309025916
0.31002,0.904781,0.0,2025-01-20 17:10:31.991,8095.000000000001,123.00000000000023,-20.897799999999997,44.525909999999996,0.10483000000000686,0.1290300000000002,0.16624701440928644,1.3516017431649279,38.19625309025916
0.298794,0.892451,0.0,2025-01-20 17:10:32.113,8217.0,121.99999999999989,-22.13266,43.16961,-1.2348600000000047,-1.3562999999999974,1.834237964278355,15.034737412117678,38.19625309025916
0.305048,0.898262,0.0,2025-01-20 17:10:32.235,8339.0,121.99999999999989,-21.44472,43.80882,0.6879400000000011,0.6392099999999985,0.9390691495837779,7.6972881113424485,38.19625309025916
0.330052,0.917969,0.0,2025-01-20 17:10:32.357,8461.0,121.99999999999989,-18.69428,45.97659,2.750440000000001,2.1677700000000044,3.5020204120621607,28.705085344771835,38.19625309025916
0.328163,0.714341,0.0,2025-01-20 17:10:32.479,8583.0,121.99999999999989,-18.902070000000002,23.57751,-0.2077900000000028,-22.39908,22.400043784120157,183.60691626328014,38.19625309025916
0.454614,0.709099,0.0,2025-01-20 17:10:32.602,8706.0,122.99999999999933,-4.992459999999998,23.000890000000005,13.909610000000004,-0.5766199999999948,13.92155670090454,113.18338781223265,38.19625309025916
0.471964,0.706673,0.0,2025-01-20 17:10:32.724,8828.0,121.99999999999989,-3.0839600000000007,22.73403,1.908499999999997,-0.26686000000000476,1.9270668150326267,15.795629631414988,38.19625309025916
0.4754,0.704385,0.0,2025-01-20 17:10:32.846,8950.0,121.99999999999989,-2.7060000000000013,22.482350000000004,0.3779599999999994,-0.2516799999999968,0.4540887402259584,3.722038854311138,38.19625309025916
0.48003,0.710012,0.0,2025-01-20 17:10:32.968,9072.0,121.99999999999989,-2.1966999999999985,23.101319999999998,0.5093000000000028,0.6189699999999938,0.8015674337820837,6.570224867066266,38.19625309025916
0.469846,0.722122,0.0,2025-01-20 17:10:33.090,9194.0,122.00000000000166,-3.3169400000000016,24.433420000000005,-1.120240000000003,1.3321000000000076,1.7405252275103706,14.266600225494647,38.19625309025916
0.542841,0.696764,0.0,2025-01-20 17:10:33.213,9317.0,122.99999999999933,4.712510000000002,21.644040000000004,8.029450000000004,-2.7893800000000013,8.500159297736724,69.10698616046155,38.19625309025916
0.493942,0.789393,0.0,2025-01-20 17:10:33.457,9561.0,243.99999999999977,-0.6663800000000009,31.83323,-5.378890000000003,10.189189999999996,11.521807605067876,47.2205229715897,38.19625309025916
0.52688,0.777734,0.0,2025-01-20 17:10:33.580,9684.0,122.99999999999933,2.9568000000000016,30.550740000000005,3.6231800000000023,-1.2824899999999957,3.843463790970328,31.24767309731991,38.19625309025916
0.459679,0.681555,0.0,2025-01-20 17:10:33.702,9806.0,121.99999999999989,-4.435309999999999,19.97105,-7.392110000000001,-10.579690000000003,12.906321348401336,105.78951924919139,38.19625309025916
0.435181,0.662102,0.0,2025-01-20 17:10:33.824,9928.0,122.00000000000166,-7.130090000000002,17.831219999999995,-2.6947800000000024,-2.139830000000007,3.441033518770203,28.205192776804555,38.19625309025916
0.100308,0.332639,0.0,2025-01-20 17:10:34.068,10172.0,121.99999999999989,-43.96612,-18.409709999999997,-36.836029999999994,-36.24092999999999,51.67492731901806,30.15207099430985,38.19625309025916
0.110739,0.349726,0.0,2025-01-20 17:10:34.190,10294.0,121.99999999999989,-42.818709999999996,-16.530140000000003,1.1474100000000007,1.879569999999994,2.2021201359144733,18.050165048479307,38.19625309025916
0.103149,0.37074,0.0,2025-01-20 17:10:34.313,10417.0,122.99999999999933,-43.65361,-14.218599999999999,-0.8349000000000046,2.3115400000000044,2.457697129753792,19.981277477673217,38.19625309025916
0.092341,0.382201,0.0,2025-01-20 17:10:34.435,10539.0,121.99999999999989,-44.84249,-12.957889999999999,-1.1888799999999975,1.2607099999999996,1.7328662263717858,14.2038215276376,38.19625309025916
0.319578,0.42109,0.0,2025-01-20 17:10:34.679,10783.0,121.99999999999989,-19.846420000000002,-8.680099999999998,24.996069999999996,4.277790000000001,25.35947560043385,15.406992979792893,38.19625309025916
0.29303,0.394431,0.0,2025-01-20 17:10:34.802,10906.0,123.00000000000111,-22.7667,-11.612590000000003,-2.920279999999998,-2.932490000000005,4.1385423615688675,33.64668586641325,38.19625309025916
