x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.030273999999999912,0.7946599999999999,0.0,2025-01-30 12:57:28.927,0.0,0.0,-40.66986,54.4126,0.0,0.0,0.0,0.0,46.47373128268104
0.028128999999999904,0.7929999999999999,0.0,2025-01-30 12:57:29.048,121.0,121.0,-40.90581,54.23,-0.2359500000000025,-0.1826000000000007,0.2983540891290104,2.4657362737934743,46.47373128268104
0.1866699999999999,0.7891379999999999,0.0,2025-01-30 12:57:29.170,243.0,122.0,-23.466300000000004,53.80517999999999,17.43951,-0.4248200000000039,17.44468346151629,142.9892087009532,46.47373128268104
0.1987449999999999,0.7922809999999999,0.0,2025-01-30 12:57:29.293,366.0,123.0,-22.138050000000003,54.15091,1.3282500000000006,0.3457300000000032,1.372507666790974,11.15859891699979,46.47373128268104
0.20163999999999993,0.7812589999999999,0.0,2025-01-30 12:57:29.415,488.0,122.0,-21.8196,52.93849,0.3184500000000057,-1.2124199999999945,1.2535440394736796,10.274951143226884,46.47373128268104
0.2643539999999999,0.7052489999999999,0.0,2025-01-30 12:57:29.537,610.0,122.0,-14.92106,44.57739,6.898539999999999,-8.361100000000008,10.839642399156906,88.84952786194185,46.47373128268104
0.2588379999999999,0.7092829999999999,0.0,2025-01-30 12:57:29.660,733.0,123.0,-15.527820000000002,45.02112999999999,-0.6067600000000031,0.4437399999999982,0.7517066483675677,6.111436165589982,46.47373128268104
0.2608789999999999,0.6828799999999999,0.0,2025-01-30 12:57:29.783,856.0,123.0,-15.30331,42.1168,0.2245100000000022,-2.9043299999999945,2.912994591309769,23.682882856176988,46.47373128268104
0.21016099999999993,0.555125,0.0,2025-01-30 12:57:29.904,977.0,121.0,-20.88229,28.06375000000001,-5.578979999999998,-14.053049999999992,15.119961380337577,124.95835851518656,46.47373128268104
0.1463939999999999,0.575418,0.0,2025-01-30 12:57:30.027,1100.0,123.00000000000011,-27.89666,30.295980000000007,-7.014370000000003,2.2322300000000013,7.360994312577619,59.84548221607815,46.47373128268104
0.1372819999999999,0.6034569999999999,0.0,2025-01-30 12:57:30.148,1221.0,121.0,-28.89898,33.38027,-1.002320000000001,3.0842899999999887,3.243068020640321,26.802215046614226,46.47373128268104
0.2162199999999999,0.48583299999999996,0.0,2025-01-30 12:57:30.271,1344.0,123.0,-20.2158,20.441630000000004,8.68318,-12.938639999999992,15.582234113309934,126.68483018951166,46.47373128268104
0.02354099999999991,0.4769629999999999,0.0,2025-01-30 12:57:30.515,1588.0,122.00000000000011,-41.41049,19.46593,-21.194689999999994,-0.9757000000000068,21.217136345089077,81.25848724319617,46.47373128268104
0.011845999999999912,0.48716399999999993,0.0,2025-01-30 12:57:30.639,1712.0,123.99999999999989,-42.69694,20.58804,-1.286450000000002,1.1221100000000028,1.7070689659764808,13.76668520948776,46.47373128268104
0.1810409999999999,0.487571,0.0,2025-01-30 12:57:30.759,1832.0,120.00000000000011,-24.08549,20.632810000000006,18.61145,0.0447700000000068,18.611503847228462,155.09586539357036,46.47373128268104
0.19297399999999992,0.4679119999999999,0.0,2025-01-30 12:57:30.881,1954.0,121.99999999999989,-22.77286,18.470319999999997,1.3126300000000022,-2.1624900000000125,2.529695736052077,20.73521095124655,46.47373128268104
0.19351899999999989,0.4617729999999999,0.0,2025-01-30 12:57:31.003,2076.0,122.00000000000011,-22.712910000000004,17.795029999999993,0.0599499999999935,-0.6752900000000004,0.6779458581627296,5.556933263628926,46.47373128268104
0.2931259999999999,0.47713099999999997,0.0,2025-01-30 12:57:31.126,2199.0,122.99999999999976,-11.756140000000002,19.484410000000004,10.956770000000002,1.6893800000000103,11.086244342305472,90.13206782362188,46.47373128268104
0.3103249999999999,0.46815799999999996,0.0,2025-01-30 12:57:31.248,2321.0,122.00000000000033,-9.86425,18.497380000000003,1.8918900000000016,-0.9870300000000009,2.1338875305413847,17.490881397880155,46.47373128268104
0.3724909999999999,0.468205,0.0,2025-01-30 12:57:31.370,2443.0,121.99999999999989,-3.0259900000000006,18.502550000000006,6.83826,0.0051700000000032,6.838261954363843,56.05132749478565,46.47373128268104
0.3869289999999999,0.483579,0.0,2025-01-30 12:57:31.492,2565.0,121.99999999999989,-1.4378099999999998,20.193690000000004,1.5881800000000008,1.6911399999999972,2.31997202827965,19.01616416622666,46.47373128268104
0.10351399999999991,0.3487699999999999,0.0,2025-01-30 12:57:31.737,2810.0,121.99999999999989,-32.61346,5.364699999999997,-31.175650000000005,-14.828990000000006,34.522747534670536,34.41477523049585,46.47373128268104
0.09933299999999992,0.3435619999999999,0.0,2025-01-30 12:57:31.859,2932.0,121.99999999999989,-33.073370000000004,4.791819999999999,-0.4599100000000007,-0.5728799999999987,0.734648693254129,6.021710600443686,46.47373128268104
0.09486799999999992,0.3407469999999999,0.0,2025-01-30 12:57:31.981,3054.0,121.99999999999989,-33.564519999999995,4.482169999999997,-0.4911499999999904,-0.3096500000000013,0.5806129907261733,4.759122874804704,46.47373128268104
0.3318589999999999,0.3373029999999999,0.0,2025-01-30 12:57:32.226,3299.0,121.99999999999989,-7.495510000000001,4.103329999999997,26.06900999999999,-0.3788400000000003,26.071762543520137,10.307524894158565,46.47373128268104
0.3315129999999999,0.34122299999999994,0.0,2025-01-30 12:57:32.349,3422.0,123.00000000000024,-7.533570000000002,4.534530000000001,-0.0380600000000006,0.431200000000004,0.4328764299427765,3.519320568640453,46.47373128268104
