,,,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy
,,,mean,std,mean,std,mean,std
Group,folder,q,,,,,,
AD,3,1,0.096386819845979,,0.9163828783989104,,2.9050913784927186,
AD,3,2,0.0287141073657927,,0.7528089887640449,,1.860219090698776,
AD,3,3,0.0447539249049157,,0.914376996805112,,2.700057737930331,
AD,3,4,0.0204903060406986,,0.7453862996559274,,1.8000360014819234,
AD,3,5,0.0281373265157048,,0.7798546209761164,,2.070649219246832,
AD,4,1,0.0215891785362357,,0.7385892116182573,,2.148128652466142,
AD,4,2,0.0260055809610712,,0.7678498572011424,,2.1564685340177285,
AD,4,3,0.0236359850062473,,0.7731277533039648,,1.8987796116103848,
AD,4,4,0.0204369150032139,,0.7561395950021542,,2.038740238529204,
AD,4,5,0.0167743921206525,,0.7614678899082569,,1.9257627752989943,
AD,5,1,0.0309773551612587,,0.810126582278481,,1.9740311679184128,
AD,5,2,0.0246598639455782,,0.7413793103448276,,2.061187167758521,
AD,5,3,0.0409873973869811,,0.8984485190409027,,3.161282224897104,
AD,5,4,0.0220766965026166,,0.7972797927461139,,2.3391117685503127,
AD,5,5,0.030321046373365,,0.8257080610021786,,1.7627502732183538,
AD,6,1,0.0457117061130686,,0.7827369501090163,,2.0652657162829304,
AD,6,2,0.0264899377049816,,0.7948717948717948,,2.176076701817608,
AD,6,3,0.0198639455782312,,0.726027397260274,,1.5282417696746928,
AD,6,4,0.0214218563174852,,0.7997443544951002,,1.953366136945745,
AD,6,5,0.0389421074552269,,0.7914438502673797,,2.0021491441318995,
AD,7,1,0.0195601006411817,,0.6950207468879668,,1.9354963094424635,
AD,7,2,0.0360301768990634,,0.7229241877256317,,1.7620239193421547,
AD,7,3,0.0312403816558941,,0.7783251231527094,,1.4415364437223783,
AD,7,4,0.0259623671358804,,0.8326417704011065,,2.3136468818617577,
AD,7,5,0.0266012396694214,,0.7548543689320388,,1.9201136659356663,
AD,8,1,0.0259766012294269,,0.767175572519084,,2.0292490086137587,
AD,8,2,0.0463927469135802,,0.8918918918918919,,2.736015512591359,
AD,8,3,0.0201142340565417,,0.6629213483146067,,1.5440173924366365,
AD,8,4,0.0237966468361276,,0.7556818181818182,,1.7748486843557527,
AD,8,5,0.0342080676621482,,0.7565884044082415,,2.045843097965286,
AD,9,1,0.0496030245746691,,0.8269817073170732,,2.366453354848488,
AD,9,2,0.0359558561765752,,0.7722772277227723,,1.9332142430916743,
AD,9,3,0.0401077097505668,,0.8692579505300353,,2.297422631337512,
AD,9,4,0.0225694444444444,,0.7168803418803419,,1.87034339920703,
AD,9,5,0.0370428381235805,,0.8097251585623678,,1.5645615426791997,
AD,10,1,0.0332091417880356,,0.8280718795531812,,2.531181756289818,
AD,10,2,0.0285478812298253,,0.8171611868484362,,2.0965707082153844,
AD,10,3,0.0444419692581866,,0.8395989974937343,,2.234804969821192,
AD,10,4,0.0288457303915092,,0.8005089058524173,,2.2121690211587257,
AD,10,5,0.0295710120783007,,0.784037558685446,,2.435660684808953,
AD,11,1,0.0265785693766159,,0.7492434068309555,,1.9108123241397263,
AD,11,2,0.0315082644628099,,0.7592213114754098,,1.8789392510172,
AD,11,3,0.0395240928019036,,0.8049367850692354,,2.131290728577793,
AD,11,4,0.0244176628108416,,0.7310825168220989,,1.8387478688960488,
AD,11,5,0.0753394206764474,,0.8275079437131184,,2.244761348028589,
AD,12,1,0.033179012345679,,0.6918604651162791,,1.6613842079427792,
AD,12,2,0.0285297792586422,,0.7335766423357665,,2.06860462976012,
AD,12,3,0.052045288531775,,0.8385964912280702,,2.059829654584362,
AD,12,4,0.0250842752329962,,0.7905138339920948,,2.2140532736903062,
AD,12,5,0.034363355790583,,0.7743702081051479,,1.972044389791638,
AD,13,1,0.0433585198785396,,0.7947882736156352,,1.847058784120496,
AD,13,2,0.0335004444444444,,0.7550413924856718,,1.940358625248324,
