,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.03302107349779163,0.014747911691910953,0.0166198562189182,0.0236127848004711,0.0290560597847244,0.03597443635719725,0.096386819845979,100.0,0.7739433241418615,0.060377274617041614,0.6488888888888888,0.7443845523281525,0.7645706716534206,0.8044075464409748,0.9163828783989104,100.0,1.9745778977002382,0.38953405052918794,1.129408334418185,1.7598700988876572,1.9341708638244377,2.171906311413556,3.161282224897104
Control,100.0,0.098102661247805,0.07648712989151518,0.0328,0.054659457040046225,0.0644383221197952,0.0973063784417994,0.4026021034004303,100.0,0.8941275885730829,0.06002084981281719,0.6404494382022472,0.8716427640156454,0.9070591885662307,0.9308147974339485,0.9766290758789612,100.0,2.6330593165562353,0.6633326377182119,0.4394969869215134,2.2377475112664875,2.6014999972514565,3.0756258766478486,4.122859280509423
MCI,105.0,0.06027280811735188,0.03714944252683385,0.0198719740403165,0.0358048544861731,0.0503472222222222,0.0675212665406427,0.2249810606496715,105.0,0.8135757035709572,0.07676744155179831,0.6330275229357798,0.7530509691313712,0.8128161888701517,0.8747501665556295,0.96667662881052,105.0,2.215078358454561,0.585213908142832,0.5032583347756457,1.872339334633665,2.130885275989952,2.6177372588689773,3.925068473735005
