,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.010079589221644545,0.004391944542463034,0.0041707159054097,0.007022552619717725,0.0086176720669,0.011482077153430826,0.0257414170927684,100.0,0.8672854382103802,0.03961320015201383,0.7821939586645469,0.8349858720780889,0.86834390221487,0.8920815677966102,0.9516129032258064,100.0,1.8786511516028765,0.526328596758036,0.5916727785823275,1.516170079096655,1.8891847034240188,2.159588636399587,3.1309901861623968
Control,100.0,0.03437968122361531,0.019717940580557702,0.0146938775510204,0.021712875446334774,0.0289226437123692,0.037424251131577,0.1175635094554013,100.0,0.897282140935224,0.04209416101345139,0.78,0.873991935483871,0.9023396751279122,0.9252314814814815,1.0,100.0,2.101196296229877,0.7153471183641269,0.0,1.7071359528748515,2.215134855617392,2.5728758194751364,3.4789431256243373
MCI,105.0,0.01841238747027907,0.009907516193019638,0.0051670732710177,0.0109526139485866,0.0158223254463637,0.0233808116097823,0.0525817447292008,105.0,0.8678840302958482,0.047188069810362734,0.7522123893805309,0.8390804597701149,0.8681732580037664,0.9012345679012346,0.978021978021978,105.0,1.892743400159529,0.6301418823239336,0.0,1.521928094887362,1.8773883784383785,2.2603615843939178,3.846716558720961
