group,avg_score_q1,avg_score_q2,avg_score_q3,avg_score_q4,avg_score_q5,avg_proc_ms_q1,avg_proc_ms_q2,avg_proc_ms_q3,avg_proc_ms_q4,avg_proc_ms_q5
control,0.8437015953046437,0.8688723616724887,0.7863267872924443,0.9542719155222782,0.825158110308708,828.7686300012865,658.238799998071,674.3831799991312,669.4095349987037,494.98768499906873
mci,0.8186571616545542,0.8481228255754037,0.7926138426693783,0.9031530438287737,0.8208286995953444,657.8992333351856,649.1384857148487,663.4141333315278,653.3790190490739,487.49215237885005
ad,0.8402962104950322,0.8499148512455804,0.7477997085024082,0.8157566468395437,0.7942387420522621,678.3377950021531,671.5041799980099,679.9291649978841,682.7627450024011,514.3984749985975
