timestamp,x,y,time_diff,x_deg,y_deg,velocity_deg_s
1737616870400.0,0.06558300000000011,0.7270960000000001,0.0,-35.68587,48.080560000000006,0.0
1737616870522.0,0.06459600000000013,0.740611,122000.0,-35.79444,49.56721,0.0122181078675438
1737616870645.0,0.06510400000000013,0.71531,123000.0,-35.73855999999999,46.7841,0.0226314709755702
1737616870767.0,0.01893500000000012,0.704866,122000.0,-40.81715,45.63526,0.0426795885783995
1737616870889.0,0.010794000000000123,0.715165,122000.0,-41.71266,46.76815,0.0118367521490392
1737616871011.0,0.1937890000000001,0.715179,122000.0,-21.58321,46.76969,0.164995492286137
1737616871133.0,0.2501430000000001,0.697586,122000.0,-15.38427,44.83446,0.0532294679808321
1737616871256.0,0.2660500000000001,0.7053170000000001,123000.0,-13.6345,45.68487,0.0158169101315686
1737616871378.0,0.12843500000000013,0.549154,122000.0,-28.77215,28.50694,0.1876726521425748
1737616871500.0,0.040293000000000134,0.516667,122000.0,-38.46777,24.93337,0.0846985302066584
1737616871622.0,0.028084000000000137,0.518074,122000.0,-39.81076,25.08814,0.0110809725672802
1737616871744.0,0.024169000000000135,0.502256,122000.0,-40.24141,23.34816,0.0146924710715336
1737616871867.0,0.24940100000000015,0.5361360000000001,123000.0,-15.465889999999996,27.07496,0.2036930872320723
1737616871989.0,0.25594500000000014,0.521915,122000.0,-14.74605,25.51065,0.0141146384339142
1737616872112.0,0.32723200000000013,0.5266700000000001,123000.0,-6.904479999999999,26.033700000000007,0.0638942677533884
1737616872234.0,0.3708050000000001,0.5422720000000001,122000.0,-2.111450000000002,27.749920000000007,0.0417297228704899
1737616872478.0,0.038794000000000134,0.20449100000000003,122000.0,-38.63266,-9.40599,0.0558177297999855
1737616872600.0,0.0,0.10220300000000004,122000.0,-47.091,-20.65767,0.1153799730767036
1737616872722.0,0.04936300000000013,0.09477800000000003,122000.0,-37.47007,-21.47442,0.0791437373569073
1737616872844.0,0.19270500000000013,0.26730000000000004,122000.0,-21.70245,-2.497,0.2022382665786694
1737616872966.0,0.20690400000000014,0.31420000000000003,122000.0,-20.14056,2.662,0.0441823666399779
1737616873089.0,0.20191500000000012,0.30869500000000005,123000.0,-20.68935,2.0564500000000017,0.0066441284030912
1737616873211.0,0.3465360000000001,0.28432500000000005,122000.0,-4.78104,-0.6242499999999984,0.1322343492003697
1737616873333.0,0.36407700000000015,0.28902100000000003,122000.0,-2.851529999999997,-0.1076900000000008,0.0163726160200899
1737616873456.0,0.31353600000000015,0.28763500000000003,123000.0,-8.411039999999998,-0.2601500000000006,0.0452162608435924
1737616873578.0,0.3063260000000001,0.27723100000000006,122000.0,-9.204140000000002,-1.4045899999999971,0.0114130345867741
1737616873822.0,0.22080800000000012,0.23032700000000006,244000.0,-18.61112,-6.564029999999997,0.0439712451685523
1737616873944.0,0.22031500000000015,0.28305400000000003,122000.0,-18.66535,-0.7640600000000008,0.04754281574607
1737616874067.0,0.2522120000000001,0.324117,123000.0,-15.15668,3.752869999999995,0.046500527037085
1737616874189.0,0.31858200000000014,0.326523,122000.0,-7.855979999999998,4.017529999999997,0.0598811111634847
1737616874312.0,0.3168980000000001,0.3425870000000001,123000.0,-8.04122,5.784570000000006,0.0144449015249249
1737616874434.0,0.33473200000000014,0.23081400000000002,122000.0,-6.079479999999998,-6.510460000000002,0.1020536856364433
1737616874556.0,0.29879500000000014,0.25165200000000004,122000.0,-10.032549999999995,-4.218279999999999,0.0374553856055977
1737616874678.0,0.29743400000000014,0.289963,122000.0,-10.182259999999998,-0.004070000000001,0.0345644949899105
1737616874800.0,0.2989600000000001,0.2983490000000001,122000.0,-10.014400000000002,0.9183900000000056,0.0076853144020055
1737616874922.0,0.36363300000000015,0.283573,122000.0,-2.900369999999997,-0.7069700000000018,0.0598142886323735
1737616875044.0,0.5592600000000001,0.26971200000000006,122000.0,18.6186,-2.231679999999997,0.1768272004088195
1737616875167.0,0.5681250000000001,0.27354700000000004,123000.0,19.59375,-1.8098299999999996,0.0086380916108387
1737616875289.0,0.6311820000000001,0.27731700000000004,122000.0,26.53002,-1.39513,0.0569561951857887
1737616875411.0,0.6271090000000001,0.19267500000000004,122000.0,26.08199,-10.70575,0.0764048642631854
1737616875533.0,0.6269670000000002,0.24802600000000002,122000.0,26.066370000000003,-4.617140000000001,0.0499068035745907
1737616875778.0,0.3884820000000001,0.5440630000000001,123000.0,-0.1669800000000021,27.946930000000005,0.0117853650381826
1737616875900.0,0.3663270000000001,0.542007,122000.0,-2.60403,27.72077,0.0200616508944249
1737616876022.0,0.3136490000000001,0.521775,122000.0,-8.39861,25.495249999999995,0.0508791934927793
1737616876145.0,0.3083610000000001,0.509795,123000.0,-8.980290000000002,24.17745,0.0117111230895577
1737616876267.0,0.1922390000000001,0.44294900000000004,122000.0,-21.75371,16.82439,0.1208085915520813
1737616876389.0,0.1872740000000001,0.44789,122000.0,-22.29986,17.3679,0.0063156412832425
1737616876512.0,0.09377000000000013,0.424902,123000.0,-32.5853,14.839219999999996,0.0861115316578465
1737616876634.0,0.08554200000000012,0.42528900000000003,122000.0,-33.49038,14.88179,0.0074268899721683
1737616876756.0,0.08213800000000013,0.374491,122000.0,-33.864819999999995,9.294009999999998,0.0459041938999346
1737616876878.0,0.017718000000000123,0.293369,122000.0,-40.95102,0.3705899999999951,0.0934000675805573
1737616877000.0,0.04838300000000012,0.416983,122000.0,-37.57787,13.968129999999997,0.114833472248745
1737616877122.0,0.1479740000000001,0.44016900000000003,122000.0,-26.622860000000003,16.51859,0.0921965705784349
1737616877245.0,0.14759800000000012,0.45255200000000007,123000.0,-26.66422,17.880720000000004,0.0110793316030306
1737616877367.0,0.14787800000000012,0.446099,122000.0,-26.63342,17.17089,0.0058237532959679
1737616877489.0,0.35117900000000013,0.489827,122000.0,-4.270309999999999,21.98097,0.1874964047811727
