ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,Amplitude_deg,MaxVel,MeanVel,ROI,group,subject
m10q2,fixation,85,104,2323.0,10.86574454509216,,,KW_n2q2_1,mci,mci_group_10
m10q2,fixation,106,113,855.0,2.811042081648726,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,116,130,1712.0,7.449013759149594,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,132,133,122.0,0.705529723541113,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,138,140,244.0,0.2467427397108194,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,144,151,978.0,18.87608350337538,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,153,154,123.0,0.20295225941092893,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,157,167,1344.0,1.5184548089423042,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,172,194,2934.0,2.0322420031088826,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,197,205,979.0,4.394916412857019,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,211,212,122.0,2.2007078593034555,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,218,220,489.0,8.386827029574414,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,225,226,122.0,0.38427684707772797,,,INST_n2q2_1,mci,mci_group_10
m10q2,fixation,228,232,488.0,7.037716973593075,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,238,240,244.0,0.10161770121391103,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,244,247,367.0,0.36372652254131926,,,KW_n2q2_1,mci,mci_group_10
m10q2,fixation,251,253,367.0,1.3932732099627836,,,KW_n2q2_4,mci,mci_group_10
m10q2,fixation,255,256,122.0,0.6809970422843273,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,258,260,245.0,0.9727884394872359,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,262,265,367.0,0.42939395617544596,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,276,277,122.0,0.6688261819037911,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,279,281,366.0,13.218899213625928,,,KW_n2q2_4,mci,mci_group_10
m10q2,fixation,283,285,244.0,2.8643491874420577,,,KW_n2q2_2,mci,mci_group_10
m10q2,fixation,287,296,1100.0,2.4972676872133652,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,298,311,1589.0,0.7978044482202383,,,KW_n2q2_3,mci,mci_group_10
m10q2,fixation,314,317,367.0,2.493681205126267,,,KW_n2q2_4,mci,mci_group_10
m10q2,fixation,320,321,123.0,0.21921586895113077,,,KW_n2q2_4,mci,mci_group_10
m10q2,fixation,325,336,1344.0,1.302984990550541,,,KW_n2q2_4,mci,mci_group_10
m10q2,fixation,341,342,122.0,0.47824633401626687,,,KW_n2q2_4,mci,mci_group_10
m10q2,saccade,4,4,0.0,0.0,45.18652106964154,45.18652106964154,,mci,mci_group_10
m10q2,saccade,9,9,0.0,0.0,55.97179167866101,55.97179167866101,,mci,mci_group_10
m10q2,saccade,16,17,123.0,13.23200048766626,107.57723973712407,105.96010077793251,,mci,mci_group_10
m10q2,saccade,20,20,0.0,0.0,49.26895373620755,49.26895373620755,,mci,mci_group_10
m10q2,saccade,21,21,0.0,0.0,0.49008980194930285,0.49008980194930285,,mci,mci_group_10
m10q2,saccade,22,22,0.0,0.0,112.61852550186131,112.61852550186131,,mci,mci_group_10
m10q2,saccade,23,23,0.0,0.0,2.8728368490759273,2.8728368490759273,,mci,mci_group_10
m10q2,saccade,24,24,0.0,0.0,60.25058741422909,60.25058741422909,,mci,mci_group_10
m10q2,saccade,34,34,0.0,0.0,50.292525564479824,50.292525564479824,,mci,mci_group_10
m10q2,saccade,64,64,0.0,0.0,55.56563890149945,55.56563890149945,,mci,mci_group_10
m10q2,saccade,69,69,0.0,0.0,41.73344771438773,41.73344771438773,,mci,mci_group_10
m10q2,saccade,72,72,0.0,0.0,45.01546747196145,45.01546747196145,,mci,mci_group_10
m10q2,saccade,84,84,0.0,0.0,43.1688237748437,43.1688237748437,,mci,mci_group_10
m10q2,saccade,105,105,0.0,0.0,63.03731034207117,63.03731034207117,,mci,mci_group_10
m10q2,saccade,114,115,123.0,10.086431003164599,82.0035040907691,74.76897276756445,,mci,mci_group_10
m10q2,saccade,131,131,0.0,0.0,49.22367459499785,49.22367459499785,,mci,mci_group_10
m10q2,saccade,134,137,367.0,5.795104967228813,78.67556364017197,66.2397469964479,,mci,mci_group_10
m10q2,saccade,141,141,0.0,0.0,77.11555460597805,77.11555460597805,,mci,mci_group_10
m10q2,saccade,142,142,0.0,0.0,0.8529271255724171,0.8529271255724171,,mci,mci_group_10
m10q2,saccade,143,143,0.0,0.0,41.20548691970888,41.20548691970888,,mci,mci_group_10
m10q2,saccade,152,152,0.0,0.0,95.49513456530119,95.49513456530119,,mci,mci_group_10
m10q2,saccade,155,156,123.0,11.598937984160447,98.55849998694997,96.42940440063127,,mci,mci_group_10
m10q2,saccade,168,171,368.0,6.94376666992779,100.50129972646063,76.49706342130062,,mci,mci_group_10
m10q2,saccade,195,196,121.0,6.807874491557554,56.26342555006242,52.75829050270254,,mci,mci_group_10
m10q2,saccade,206,206,0.0,0.0,45.9878360867167,45.9878360867167,,mci,mci_group_10
m10q2,saccade,207,207,0.0,0.0,1.4014962826041035,1.4014962826041035,,mci,mci_group_10
m10q2,saccade,208,208,0.0,0.0,105.23413870797974,105.23413870797974,,mci,mci_group_10
