ADQ_ID,ROI,FixTime,EnterCount,RegressionCount
n12q4,INST_n2q4_1,0.858,3,2
n12q4,BG_n2q4,0.3659999999999991,2,1
n12q4,INST_n2q4_2a,3.666999999999999,1,0
n12q5,BG_n2q5,6.842999999999997,6,5
n12q5,INST_n2q5_1a,0.244,1,0
n12q5,INST_n2q5_1c,0.735,3,2
n12q5,INST_n2q5_1b,1.223,1,0
n13q1,KW_n2q1_4,3.1769999999999996,3,2
n13q1,INST_n2q1_1,1.4679999999999995,1,0
n13q1,KW_n2q1_1,1.4689999999999999,1,0
n13q1,BG_n2q1,0.37,2,1
n13q1,KW_n2q1_2,1.1,1,0
n13q1,KW_n2q1_3,0.978,1,0
n13q2,KW_n2q2_3,1.955,1,0
n13q2,KW_n2q2_2,2.5669999999999993,1,0
n13q2,INST_n2q2_1,1.8349999999999997,1,0
n13q2,BG_n2q2,0.488,2,1
n13q2,KW_n2q2_4,2.5679999999999987,3,2
n13q2,KW_n2q2_1,2.5669999999999997,1,0
n13q3,KW_n2q3_1,1.101,4,3
n13q3,INST_n2q3_2,2.691,3,2
n13q3,INST_n2q3_1,1.59,1,0
n13q3,BG_n2q3,7.822999999999999,10,9
n13q3,KW_n2q3_2,1.2229999999999999,2,1
n13q3,KW_n2q3_3,1.222,2,1
n13q4,INST_n2q4_2b,3.3019999999999996,2,1
n13q4,KW_n2q4_1,35.81299999999999,6,5
n13q4,INST_n2q4_1,0.855,2,1
n13q4,BG_n2q4,2.8129999999999997,8,7
n13q4,INST_n2q4_2a,2.3230000000000017,3,2
n13q5,BG_n2q5,1.9539999999999993,5,4
n13q5,INST_n2q5_1a,1.4679999999999995,1,0
n13q5,INST_n2q5_1c,6.356999999999998,4,3
n13q5,INST_n2q5_1b,1.9569999999999999,3,2
n14q1,KW_n2q1_4,1.5869999999999997,2,1
n14q1,INST_n2q1_1,1.225,1,0
n14q1,KW_n2q1_1,2.9349999999999996,1,0
n14q1,BG_n2q1,0.244,2,1
n14q1,KW_n2q1_2,1.8349999999999997,1,0
n14q1,KW_n2q1_3,2.57,1,0
n14q2,KW_n2q2_3,1.223,1,0
n14q2,KW_n2q2_2,1.711,1,0
n14q2,INST_n2q2_1,1.9569999999999999,1,0
n14q2,BG_n2q2,0.244,1,0
n14q2,KW_n2q2_4,1.4669999999999999,1,0
n14q2,KW_n2q2_1,2.6899999999999995,1,0
n14q3,KW_n2q3_1,2.078,4,3
n14q3,INST_n2q3_2,2.1989999999999994,3,2
n14q3,INST_n2q3_1,2.324,1,0
n14q3,BG_n2q3,1.9560000000000008,7,6
n14q3,KW_n2q3_2,2.078,4,3
n14q3,KW_n2q3_3,1.1,3,2
n14q4,INST_n2q4_2b,0.367,1,0
n14q4,KW_n2q4_1,17.603999999999985,2,1
n14q4,INST_n2q4_1,0.61,1,0
n14q4,BG_n2q4,1.4669999999999999,3,2
n14q4,INST_n2q4_2a,2.1939999999999995,2,1
n14q5,BG_n2q5,1.101,7,6
n14q5,INST_n2q5_1a,2.5669999999999993,2,1
