ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,Amplitude_deg,MaxVel,MeanVel,ROI
ad10q1,saccade,238,238,0.0,0.0,15.48521845561958,15.48521845561958,
ad10q1,saccade,239,239,0.0,0.0,99.33063673255216,99.33063673255216,
ad10q1,saccade,242,242,0.0,0.0,81.6259070671915,81.6259070671915,
ad10q1,saccade,243,243,0.0,0.0,21.013412022574023,21.013412022574023,
ad10q1,saccade,244,244,0.0,0.0,59.16766500237132,59.16766500237132,
ad10q2,fixation,0,2,245.0,1.0601134378923802,,,INST_n2q2_1
ad10q2,fixation,7,58,6845.0,15.309013876184187,,,INST_n2q2_1
ad10q2,fixation,60,61,123.0,4.30755945922978,,,KW_n2q2_1
ad10q2,fixation,69,70,122.0,0.18259731104263346,,,KW_n2q2_4
ad10q2,fixation,73,75,366.0,4.354865930473627,,,KW_n2q2_3
ad10q2,fixation,77,81,611.0,15.589507568323002,,,KW_n2q2_4
ad10q2,fixation,83,93,1223.0,7.372058719814974,,,KW_n2q2_4
ad10q2,fixation,95,96,122.0,1.8227898880562143,,,KW_n2q2_1
ad10q2,fixation,98,99,122.0,0.16085607231311005,,,KW_n2q2_1
ad10q2,fixation,104,114,1589.0,34.7632497989299,,,KW_n2q2_2
ad10q2,fixation,119,120,122.0,1.8205160856196747,,,KW_n2q2_1
ad10q2,fixation,123,129,855.0,16.40701055271191,,,KW_n2q2_3
ad10q2,fixation,131,132,122.0,0.9890597152851789,,,KW_n2q2_4
ad10q2,fixation,135,137,367.0,10.728256223953636,,,KW_n2q2_4
ad10q2,fixation,139,143,489.0,5.957741384115293,,,KW_n2q2_1
ad10q2,fixation,146,154,978.0,5.05333072735201,,,KW_n2q2_2
ad10q2,fixation,156,160,489.0,6.069343052983571,,,KW_n2q2_2
ad10q2,fixation,162,166,489.0,3.4554616960979323,,,KW_n2q2_3
ad10q2,fixation,168,171,488.0,5.789305072804508,,,KW_n2q2_3
ad10q2,fixation,177,191,1834.0,6.25387424919945,,,KW_n2q2_3
ad10q2,fixation,193,195,244.0,2.7334422551061843,,,KW_n2q2_2
ad10q2,fixation,198,203,733.0,12.00525165178973,,,INST_n2q2_1
ad10q2,saccade,3,6,367.0,10.233354902200938,109.08796228776951,86.52564150858842,
ad10q2,saccade,59,59,0.0,0.0,46.11581463787805,46.11581463787805,
ad10q2,saccade,62,62,0.0,0.0,66.16880106575893,66.16880106575893,
ad10q2,saccade,63,63,0.0,0.0,4.458701652344224,4.458701652344224,
ad10q2,saccade,64,64,0.0,0.0,92.37605774919997,92.37605774919997,
ad10q2,saccade,65,65,0.0,0.0,39.47633732159527,39.47633732159527,
ad10q2,saccade,66,66,0.0,0.0,44.04593790680092,44.04593790680092,
ad10q2,saccade,67,67,0.0,0.0,8.425078909769946,8.425078909769946,
ad10q2,saccade,68,68,0.0,0.0,80.90563613227629,80.90563613227629,
ad10q2,saccade,71,72,122.0,5.17473897393868,95.55065829927263,68.98327576413911,
ad10q2,saccade,76,76,0.0,0.0,89.82373122008632,89.82373122008632,
ad10q2,saccade,82,82,0.0,0.0,46.549407533674255,46.549407533674255,
ad10q2,saccade,94,94,0.0,0.0,85.10068015978764,85.10068015978764,
ad10q2,saccade,97,97,0.0,0.0,58.240756804934314,58.240756804934314,
ad10q2,saccade,100,100,0.0,0.0,75.15641672605459,75.15641672605459,
ad10q2,saccade,101,101,0.0,0.0,1.6983750501072368,1.6983750501072368,
ad10q2,saccade,102,103,245.0,16.67076211779174,68.04392701139484,59.96998456773069,
ad10q2,saccade,115,116,244.0,10.141237043773307,46.17136336264021,43.86690513167524,
ad10q2,saccade,117,117,0.0,0.0,20.29153165866382,20.29153165866382,
ad10q2,saccade,118,118,0.0,0.0,80.40757514794193,80.40757514794193,
ad10q2,saccade,121,122,122.0,11.594371901746129,95.03583526021417,68.08177062004528,
ad10q2,saccade,130,130,0.0,0.0,95.30036831312937,95.30036831312937,
ad10q2,saccade,133,134,123.0,5.405837173796487,52.45633535013891,48.203115536030786,
ad10q2,saccade,138,138,0.0,0.0,65.74409139248475,65.74409139248475,
ad10q2,saccade,144,145,122.0,6.162652839321711,101.03846554000002,75.77600670164637,
ad10q2,saccade,155,155,0.0,0.0,92.46146050652999,92.46146050652999,
ad10q2,saccade,161,161,0.0,0.0,89.16140837840335,89.16140837840335,
ad10q2,saccade,167,167,0.0,0.0,41.189490900336054,41.189490900336054,
ad10q2,saccade,172,172,0.0,0.0,63.24151177369004,63.24151177369004,
ad10q2,saccade,173,173,0.0,0.0,7.882647820168804,7.882647820168804,
ad10q2,saccade,174,176,367.0,6.341920171966847,71.09602488726235,60.68305689433987,
ad10q2,saccade,192,192,0.0,0.0,47.29332419525238,47.29332419525238,
ad10q2,saccade,196,197,123.0,5.033179340854055,94.02910897361777,67.47463310816683,
ad10q3,fixation,0,3,368.0,5.739936432017341,,,INST_n2q3_1
ad10q3,fixation,6,9,366.0,4.381705588740535,,,BG_n2q3
ad10q3,fixation,12,19,856.0,4.601484300440459,,,KW_n2q3_1
ad10q3,fixation,21,25,489.0,1.7531425904358149,,,KW_n2q3_2
ad10q3,fixation,30,32,245.0,1.579273758155944,,,BG_n2q3
ad10q3,fixation,35,36,122.0,0.8094386076781855,,,INST_n2q3_2
ad10q3,fixation,38,42,489.0,6.1504440079721014,,,INST_n2q3_2
ad10q3,fixation,44,48,488.0,6.317581418042824,,,INST_n2q3_2
ad10q3,fixation,50,51,123.0,0.6186565202113343,,,INST_n2q3_2
ad10q3,fixation,55,58,367.0,3.788208173794048,,,INST_n2q3_2
ad10q3,fixation,63,67,489.0,2.979069455383673,,,INST_n2q3_1
ad10q3,fixation,69,71,245.0,6.197573350465485,,,BG_n2q3
ad10q3,fixation,74,83,1100.0,11.43859167233449,,,KW_n2q3_1
ad10q3,fixation,85,91,733.0,8.495841080081476,,,KW_n2q3_2
ad10q3,fixation,93,94,122.0,2.342632319421897,,,KW_n2q3_3
ad10q3,fixation,96,102,734.0,2.3058068181007707,,,BG_n2q3
ad10q3,fixation,105,107,245.0,5.650891721277275,,,BG_n2q3
ad10q3,fixation,115,120,612.0,1.6522533584169177,,,KW_n2q3_2
ad10q3,fixation,122,125,366.9999999999982,2.198454749318254,,,KW_n2q3_3
ad10q3,fixation,128,131,367.0,2.2775373120983105,,,KW_n2q3_3
ad10q3,saccade,4,5,122.0,11.801371711593532,96.73255501306174,68.89466088210996,
ad10q3,saccade,10,11,244.0,28.177235681720095,115.48047410541022,82.5111322733011,
ad10q3,saccade,20,20,0.0,0.0,63.53822354813504,63.53822354813504,
ad10q3,saccade,26,26,0.0,0.0,69.80675107336964,69.80675107336964,
ad10q3,saccade,27,27,0.0,0.0,38.595785351112134,38.595785351112134,
ad10q3,saccade,28,29,245.0,31.4223150529556,128.25434715492082,104.38869464420478,
ad10q3,saccade,33,34,245.0,26.966711755362386,110.06821124637709,109.15111448054788,
ad10q3,saccade,37,37,0.0,0.0,109.33493166673635,109.33493166673635,
ad10q3,saccade,43,43,0.0,0.0,82.062745421451,82.062745421451,
ad10q3,saccade,49,49,0.0,0.0,42.74574641859474,42.74574641859474,
ad10q3,saccade,52,52,0.0,0.0,81.66596756839427,81.66596756839427,
ad10q3,saccade,53,53,0.0,0.0,21.109769603356213,21.109769603356213,
ad10q3,saccade,54,54,0.0,0.0,42.54507435152089,42.54507435152089,
ad10q3,saccade,59,59,0.0,0.0,95.22045124788428,95.22045124788428,
ad10q3,saccade,60,60,0.0,0.0,3.9660088844301127,3.9660088844301127,
ad10q3,saccade,61,62,244.0,26.751493776198743,109.63726957458502,77.28137333968888,
ad10q3,saccade,68,68,0.0,0.0,53.51993754613528,53.51993754613528,
ad10q3,saccade,72,73,122.0,13.416533923096528,109.97158953357811,82.26103447638778,
ad10q3,saccade,84,84,0.0,0.0,71.13761048294411,71.13761048294411,
ad10q3,saccade,92,92,0.0,0.0,79.69812603217123,79.69812603217123,
ad10q3,saccade,95,95,0.0,0.0,60.063953741173,60.063953741173,
ad10q3,saccade,103,104,122.0,10.124878879453323,102.82395907992814,92.90738478362523,
ad10q3,saccade,108,108,0.0,0.0,52.4231042266569,52.4231042266569,
ad10q3,saccade,109,109,0.0,0.0,37.64211034713754,37.64211034713754,
ad10q3,saccade,110,111,122.0,17.168257587268428,140.7234228464625,104.21649982609992,
ad10q3,saccade,112,112,0.0,0.0,7.713738407915209,7.713738407915209,
ad10q3,saccade,113,114,122.0,6.380060114701112,128.39676335475215,90.3461690327085,
ad10q3,saccade,121,121,0.0,0.0,87.92489100006264,87.92489100006264,
ad10q3,saccade,126,127,122.0,7.91806778111933,69.49506139903143,67.19862816311954,
ad10q4,fixation,3,6,612.0,2.9118241290984623,,,KW_n2q4_1
ad10q4,fixation,8,11,611.0,37.083273756889376,,,KW_n2q4_1
ad10q4,fixation,21,38,2445.0,23.629134498868133,,,INST_n2q4_2b
ad10q4,fixation,41,42,122.0,0.5409634738131642,,,INST_n2q4_2a
ad10q4,fixation,46,47,122.0,1.1600837624930371,,,INST_n2q4_2a
ad10q4,fixation,50,54,488.0,2.077930929458439,,,INST_n2q4_2a
ad10q4,fixation,56,62,734.0,10.375231167545138,,,BG_n2q4
ad10q4,fixation,64,71,1101.0,24.613128128972157,,,INST_n2q4_2a
ad10q4,fixation,73,77,489.0,2.682909088880958,,,BG_n2q4
ad10q4,fixation,82,90,978.0,16.08448860620692,,,KW_n2q4_1
ad10q4,fixation,92,99,855.0,2.4563489606324262,,,INST_n2q4_1
ad10q4,fixation,103,104,123.0,1.2535784075996235,,,INST_n2q4_2a
ad10q4,fixation,106,125,2567.0,15.880560465285848,,,BG_n2q4
ad10q4,fixation,129,145,1956.0,4.085076727847343,,,KW_n2q4_1
ad10q4,fixation,148,151,367.0,0.719260702944349,,,BG_n2q4
ad10q4,fixation,155,161,734.0,6.2348036666762825,,,BG_n2q4
ad10q4,fixation,168,173,611.0,6.63699178257741,,,INST_n2q4_2b
ad10q4,fixation,175,177,245.0,3.104739647055769,,,INST_n2q4_2b
ad10q4,fixation,180,183,367.0,3.167937995984147,,,INST_n2q4_2a
ad10q4,fixation,188,190,367.0,2.422885036397725,,,KW_n2q4_1
ad10q4,fixation,192,195,365.0,1.0268419352558626,,,KW_n2q4_1
ad10q4,fixation,197,198,123.0,0.7878043274823995,,,KW_n2q4_1
ad10q4,fixation,203,207,488.0,5.010067537628608,,,INST_n2q4_2a
ad10q4,fixation,212,215,488.0,10.557547754758204,,,BG_n2q4
ad10q4,fixation,219,224,733.0,6.756173632493463,,,KW_n2q4_1
ad10q4,fixation,226,227,122.0,2.10348564178603,,,INST_n2q4_2a
ad10q4,fixation,229,240,1345.0000000000036,2.0309000962134935,,,INST_n2q4_2b
ad10q4,fixation,250,252,368.0,8.566415962186285,,,INST_n2q4_2a
ad10q4,fixation,254,255,122.0,0.23305066659419854,,,INST_n2q4_2a
ad10q4,saccade,0,0,0.0,0.0,0.0,0.0,
ad10q4,saccade,1,2,122.0,5.7797144777229255,91.28363254982725,69.32917069181086,
ad10q4,saccade,7,7,0.0,0.0,43.883953789070226,43.883953789070226,
ad10q4,saccade,12,12,0.0,0.0,56.967883413644344,56.967883413644344,
ad10q4,saccade,13,13,0.0,0.0,1.4140063559751217,1.4140063559751217,
ad10q4,saccade,14,14,0.0,0.0,69.2209407875233,69.2209407875233,
ad10q4,saccade,15,15,0.0,0.0,10.901929928334773,10.901929928334773,
ad10q4,saccade,16,16,0.0,0.0,53.23305663120926,53.23305663120926,
ad10q4,saccade,17,17,0.0,0.0,9.380210591644822,9.380210591644822,
ad10q4,saccade,18,18,0.0,0.0,88.38295459073305,88.38295459073305,
ad10q4,saccade,19,19,0.0,0.0,0.19627449256348709,0.19627449256348709,
ad10q4,saccade,20,20,0.0,0.0,56.60997302081939,56.60997302081939,
ad10q4,saccade,39,40,122.0,8.070108946104755,66.14843398446521,66.0433733684493,
ad10q4,saccade,43,43,0.0,0.0,40.56615527939651,40.56615527939651,
ad10q4,saccade,44,44,0.0,0.0,9.927873918785048,9.927873918785048,
ad10q4,saccade,45,45,0.0,0.0,51.855821076794385,51.855821076794385,
ad10q4,saccade,48,49,123.0,8.052951297009065,65.47114875617126,60.52250739523591,
ad10q4,saccade,55,55,0.0,0.0,81.12582034191634,81.12582034191634,
ad10q4,saccade,63,63,0.0,0.0,58.415425440149534,58.415425440149534,
ad10q4,saccade,72,72,0.0,0.0,132.32221720097692,132.32221720097692,
ad10q4,saccade,78,79,245.0,33.802147153481236,137.96794756522954,95.53175430855075,
ad10q4,saccade,80,80,0.0,0.0,33.79244261332396,33.79244261332396,
ad10q4,saccade,81,81,0.0,0.0,116.03290700166099,116.03290700166099,
ad10q4,saccade,91,91,0.0,0.0,58.22354653173989,58.22354653173989,
ad10q4,saccade,100,100,0.0,0.0,48.21047510217703,48.21047510217703,
ad10q4,saccade,101,101,0.0,0.0,14.577468269013732,14.577468269013732,
ad10q4,saccade,102,102,0.0,0.0,44.18613145768,44.18613145768,
ad10q4,saccade,105,105,0.0,0.0,124.04036860741061,124.04036860741061,
ad10q4,saccade,126,126,0.0,0.0,80.1594939306201,80.1594939306201,
ad10q4,saccade,127,127,0.0,0.0,25.41373908821335,25.41373908821335,
ad10q4,saccade,128,128,0.0,0.0,53.376745355501384,53.376745355501384,
ad10q4,saccade,146,147,244.0,24.722317011170293,101.3209713572553,83.94341429703806,
ad10q4,saccade,152,152,0.0,0.0,129.96349808413638,129.96349808413638,
ad10q4,saccade,153,153,0.0,0.0,5.793126198660768,5.793126198660768,
ad10q4,saccade,154,154,0.0,0.0,107.3915116629622,107.3915116629622,
ad10q4,saccade,162,165,366.0,21.921332860836728,82.33616997488264,66.27145276212568,
ad10q4,saccade,166,166,0.0,0.0,3.617941740689639,3.617941740689639,
ad10q4,saccade,167,167,0.0,0.0,124.59815483002345,124.59815483002345,
ad10q4,saccade,174,174,0.0,0.0,41.92903191441817,41.92903191441817,
ad10q4,saccade,178,179,122.0,6.568092389910481,53.836822868118695,48.79636960609893,
ad10q4,saccade,184,185,122.0,13.67158850201395,129.2199974274564,120.64109913181815,
ad10q4,saccade,186,186,0.0,0.0,32.63777034504248,32.63777034504248,
ad10q4,saccade,187,187,0.0,0.0,67.4434848984689,67.4434848984689,
ad10q4,saccade,191,191,0.0,0.0,45.84018688068281,45.84018688068281,
ad10q4,saccade,196,196,0.0,0.0,93.10072546423694,93.10072546423694,
ad10q4,saccade,199,199,0.0,0.0,53.77319045856888,53.77319045856888,
ad10q4,saccade,200,200,0.0,0.0,3.271104096511211,3.271104096511211,
ad10q4,saccade,201,202,123.0,16.650345961486806,135.36866635355128,95.49281385760634,
ad10q4,saccade,208,208,0.0,0.0,99.45589700772058,99.45589700772058,
ad10q4,saccade,209,209,0.0,0.0,28.636996430228383,28.636996430228383,
ad10q4,saccade,210,211,122.0,10.213620101511507,83.718197553373,74.98294609377407,
ad10q4,saccade,216,218,245.0,17.67544720082635,99.40711008292456,69.24158610395229,
ad10q4,saccade,225,225,0.0,0.0,131.14058252686246,131.14058252686246,
ad10q4,saccade,228,228,0.0,0.0,81.3434945029874,81.3434945029874,
ad10q4,saccade,241,241,0.0,0.0,88.72143595416736,88.72143595416736,
ad10q4,saccade,242,242,0.0,0.0,9.44886806801375,9.44886806801375,
ad10q4,saccade,243,246,366.0,18.46524975486657,64.63054606911615,54.044147423673714,
ad10q4,saccade,247,247,0.0,0.0,0.8990291544677605,0.8990291544677605,
ad10q4,saccade,248,249,122.0,7.452386788995861,130.11490741568593,95.60002251520305,
ad10q4,saccade,253,253,0.0,0.0,43.60069632033848,43.60069632033848,
ad10q5,fixation,0,5,612.0,2.9272901164045884,,,INST_n2q5_1a
ad10q5,fixation,7,9,245.0,5.906358422242931,,,INST_n2q5_1a
ad10q5,fixation,12,14,244.0,2.8590156396214423,,,BG_n2q5
ad10q5,fixation,16,17,122.0,0.05186867262616293,,,INST_n2q5_1b
ad10q5,fixation,19,24,611.0,4.852309695186406,,,INST_n2q5_1b
ad10q5,fixation,26,27,123.0,0.5036618329792273,,,INST_n2q5_1c
ad10q5,fixation,33,34,122.0,2.5106343827009128,,,BG_n2q5
ad10q5,fixation,39,40,122.0,0.25404672404894024,,,BG_n2q5
ad10q5,fixation,47,48,122.0,2.629871361112561,,,INST_n2q5_1b
ad10q5,fixation,54,74,2811.0,30.140226406913403,,,INST_n2q5_1c
ad10q5,fixation,81,85,489.0,0.39271622579159887,,,INST_n2q5_1a
ad10q5,fixation,87,99,1467.0,19.198105819533346,,,BG_n2q5
ad10q5,fixation,101,103,245.0,3.8829622714623464,,,INST_n2q5_1b
ad10q5,fixation,105,108,735.0,1.8344274098475508,,,BG_n2q5
ad10q5,fixation,110,113,366.0,4.909724411003127,,,BG_n2q5
ad10q5,fixation,115,131,2078.0,26.40603943071357,,,INST_n2q5_1b
ad10q5,fixation,133,143,1222.0,17.482074677348805,,,BG_n2q5
ad10q5,saccade,6,6,0.0,0.0,59.753378439298075,59.753378439298075,
ad10q5,saccade,10,11,123.0,5.849937890131823,51.02720945992832,49.29384005570328,
ad10q5,saccade,15,15,0.0,0.0,73.81883923908414,73.81883923908414,
ad10q5,saccade,18,18,0.0,0.0,45.16201172248443,45.16201172248443,
ad10q5,saccade,25,25,0.0,0.0,97.13043830608463,97.13043830608463,
ad10q5,saccade,28,28,0.0,0.0,89.26982876892511,89.26982876892511,
ad10q5,saccade,29,29,0.0,0.0,12.640815118218999,12.640815118218999,
ad10q5,saccade,30,32,367.0,10.798030968672016,74.93046665697396,65.71959579211483,
ad10q5,saccade,35,35,0.0,0.0,92.8393759019176,92.8393759019176,
ad10q5,saccade,36,36,0.0,0.0,22.43818303680704,22.43818303680704,
ad10q5,saccade,37,38,122.0,6.727900865648958,55.14672840695867,51.469709450835566,
ad10q5,saccade,41,41,0.0,0.0,52.03119026881963,52.03119026881963,
ad10q5,saccade,42,42,0.0,0.0,2.781982481096472,2.781982481096472,
ad10q5,saccade,43,43,0.0,0.0,52.582593394684544,52.582593394684544,
ad10q5,saccade,44,44,0.0,0.0,24.654054512327203,24.654054512327203,
ad10q5,saccade,45,46,122.0,10.377674673817829,85.06290716244122,78.4956965682856,
ad10q5,saccade,49,50,122.0,5.32641160444816,57.43298113541399,50.546046323642074,
ad10q5,saccade,51,51,0.0,0.0,34.0045384078364,34.0045384078364,
ad10q5,saccade,52,53,122.0,12.825838132052025,105.1298207545248,83.4205003842893,
ad10q5,saccade,75,76,367.0,16.43186167600007,56.58325497324313,50.678360015232016,
ad10q5,saccade,77,77,0.0,0.0,33.750715158596925,33.750715158596925,
ad10q5,saccade,78,78,0.0,0.0,57.59763986699265,57.59763986699265,
ad10q5,saccade,79,79,0.0,0.0,9.229355193385718,9.229355193385718,
ad10q5,saccade,80,80,0.0,0.0,48.9232684297129,48.9232684297129,
ad10q5,saccade,86,86,0.0,0.0,74.69721398559943,74.69721398559943,
ad10q5,saccade,100,100,0.0,0.0,40.898399737993785,40.898399737993785,
ad10q5,saccade,104,104,0.0,0.0,94.4263275348492,94.4263275348492,
ad10q5,saccade,109,109,0.0,0.0,44.97536494454111,44.97536494454111,
ad10q5,saccade,114,114,0.0,0.0,45.52518383136124,45.52518383136124,
ad10q5,saccade,132,132,0.0,0.0,64.08508473082485,64.08508473082485,
ad11q1,fixation,0,2,244.0,0.7515509395909239,,,INST_n2q1_1
ad11q1,fixation,6,8,245.0,2.5399592792011454,,,INST_n2q1_1
ad11q1,fixation,10,18,978.0,4.495336435062455,,,KW_n2q1_1
ad11q1,fixation,21,22,123.0,0.3851481881042688,,,BG_n2q1
ad11q1,fixation,25,30,733.0,7.734131960937828,,,BG_n2q1
ad11q1,fixation,32,33,122.0,3.205604309580339,,,BG_n2q1
ad11q1,fixation,35,44,1345.0,21.13531626695943,,,KW_n2q1_2
ad11q1,fixation,48,72,3180.0,18.558370619480577,,,KW_n2q1_1
ad11q1,fixation,75,102,3789.0,12.03452029887357,,,BG_n2q1
ad11q1,fixation,104,109,735.0,4.966973401177016,,,BG_n2q1
ad11q1,fixation,111,117,733.0000000000018,3.668482158059379,,,KW_n2q1_1
ad11q1,fixation,119,123,489.0,3.6579760535028107,,,KW_n2q1_2
ad11q1,fixation,125,129,612.0,6.259942452802585,,,KW_n2q1_2
ad11q1,fixation,134,141,2078.0,17.163153536177436,,,INST_n2q1_1
ad11q1,fixation,143,146,489.0,18.018437349337486,,,KW_n2q1_1
ad11q1,fixation,148,150,244.0,0.23628019045192916,,,KW_n2q1_2
ad11q1,fixation,152,153,122.0,0.08811383546299638,,,KW_n2q1_1
ad11q1,fixation,157,158,122.0,4.436148902144741,,,BG_n2q1
ad11q1,fixation,160,163,488.0,16.20883271751547,,,KW_n2q1_4
ad11q1,fixation,168,169,122.0,0.08265282572302075,,,KW_n2q1_4
ad11q1,fixation,171,175,854.0,11.616535530113964,,,BG_n2q1
ad11q1,fixation,177,185,2078.0,19.29219170301809,,,KW_n2q1_1
ad11q1,fixation,187,188,122.0,0.1854828940899922,,,INST_n2q1_1
ad11q1,fixation,191,193,245.0,0.6897937387364438,,,BG_n2q1
ad11q1,fixation,195,197,244.0,2.6278098951788764,,,KW_n2q1_1
ad11q1,fixation,199,205,856.0,13.91579215702793,,,BG_n2q1
ad11q1,fixation,207,209,245.0,0.8329457703836434,,,KW_n2q1_4
ad11q1,fixation,211,213,244.00000000000364,1.3465551581721402,,,KW_n2q1_4
ad11q1,fixation,218,225,1099.0,36.53525805339275,,,KW_n2q1_4
ad11q1,fixation,229,233,611.0,5.676949049938705,,,BG_n2q1
ad11q1,fixation,238,240,244.0,2.1200041065054567,,,BG_n2q1
ad11q1,fixation,243,245,245.0,4.832018000049256,,,BG_n2q1
ad11q1,fixation,248,252,489.0,1.2655444298798844,,,INST_n2q1_1
ad11q1,fixation,255,263,1100.0,1.871387543081333,,,KW_n2q1_1
ad11q1,fixation,266,269,367.0,2.8316388201887612,,,INST_n2q1_1
ad11q1,fixation,272,276,612.0,1.4727578171580007,,,KW_n2q1_1
ad11q1,fixation,278,279,122.0,0.8653469771137974,,,KW_n2q1_2
ad11q1,fixation,282,285,367.0,1.3051859136536907,,,BG_n2q1
ad11q1,saccade,3,3,0.0,0.0,57.06160830571486,57.06160830571486,
