group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,ttff_ms_is_missing,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
ad,ad_group_10,2,22,33,20413.0,10633.0,7823.0,122.0,0.5208935482290697,0.3832361730269926,0.0059765835496987,7457.0,0,76.7580544653899,12.9705700848334,2,4890.0,4,2,2,0,7.372054760421769,2.3260016504663605,62.849237088763005,58.21453129664336,0.0537304548888532,0.7400937366851299,1.717024309255983,0.0160939538929969,0.8122332859174964,1.6847729099222308
ad,ad_group_11,2,50,90,27378.0,15035.0,7332.999999999996,1706.0,0.5491635619840749,0.267842793483819,0.0623128059025495,1589.0,0,224.78464738944376,13.023771619485144,10,1234.2999999999995,27,15,4,8,3.863353575715735,2.4976071932160417,72.84508663944071,69.2662125023615,0.0512332128099173,0.6181474480151229,1.673923512649394,0.014817923553719,0.7342047930283224,1.892194218881393
ad,ad_group_12,2,28,53,14547.000000000004,9165.000000000002,1833.000000000001,367.0,0.6300268096514745,0.1260053619302949,0.0252285694644943,979.0,0,188.9829130394368,14.388075569172548,5,1076.4000000000003,10,6,3,1,3.917030815344249,3.565715340366732,70.89798548566016,63.84829273360182,0.0560703873386089,0.6843082636954503,1.479817590255734,0.0144731361932528,0.7482014388489209,2.209408343878997
ad,ad_group_13,2,48,89,31294.0,25183.0,1956.0,1468.0,0.8047229500862785,0.0625039943759187,0.0469099507892886,1344.0,0,160.36788692964743,12.580349608936809,6,1018.5,11,3,8,0,5.920881123695987,1.8018863699960384,56.18137706263023,53.85963126918917,0.0553173333333333,0.6727085743668852,1.687490346831226,0.0143146666666666,0.7128663686040735,1.6378479521595786
ad,ad_group_14,2,23,24,39240.0,37896.0,366.0,856.0,0.9657492354740062,0.0093272171253822,0.0218144750254842,366.0,0,6.114843936847448,11.062612259242966,2,672.0,3,1,2,0,6.381718543645378,0.2547851640353103,47.64935004376829,47.57126580857632,0.0763428002792735,0.7973299695154,1.9712665045077744,0.0261217087048287,0.8236559139784946,2.088574812171165
ad,ad_group_15,2,38,59,18702.0,11856.0,1224.0,1589.0,0.6339428938081488,0.0654475457170356,0.0849641749545503,368.0,0,310.4684332060867,16.12406639602084,6,1141.0,13,6,6,1,2.5983782822252888,5.262176834001469,77.13002853609309,69.24746585501774,0.0440649729279466,0.6438563327032136,1.4674011888766214,0.0124781341107871,0.7116154873164219,1.646812675926725
ad,ad_group_16,2,19,34,16994.0,12473.0,1467.0,610.0,0.7339649287983995,0.0863245851476991,0.0358950217723902,1587.0,0,178.3180504871926,14.226456135726014,2,2260.5,5,1,3,1,2.1327950718080797,5.244648543740959,65.38332454506913,59.715289009825575,0.0741126141750491,0.8026521060842434,2.257065685523557,0.0401202451150422,0.8515850144092219,2.83198862837784
ad,ad_group_17,2,26,61,13563.0,7818.0,2200.0,611.9999999999991,0.5764211457642114,0.16220600162206,0.0451227604512275,1344.0,0,195.70500509668128,14.78626569852272,5,1149.0,9,5,4,0,7.004554462806231,3.208278772076742,63.54954533130978,58.61108444023375,0.0384437507226268,0.6225563909774436,1.1355323175900809,0.0146259683200369,0.758893280632411,1.472986760832074
ad,ad_group_18,2,46,68,27501.0,17844.0,3912.0,245.0,0.6488491327588087,0.1422493727500818,0.0089087669539289,367.0,0,365.0406236345362,15.08604322990153,9,1073.0,17,15,2,0,3.848611305776357,5.368244465213768,76.41424624070142,68.56158391683705,0.0474400065746219,0.674750974447813,1.5679872745783978,0.0120808678500986,0.7091836734693877,1.588888713279972
ad,ad_group_19,2,23,44,12229.0,8192.0,856.0000000000018,245.0,0.6698830648458582,0.0699975468149482,0.0200343445907269,489.0,0,244.58987149983705,14.878967494282726,3,1345.6666666666667,5,3,2,0,3.711846590410485,5.558860715905388,75.99153907136916,67.395775124774,0.0503125,0.6490683229813664,1.4228109536020666,0.017578125,0.7155555555555555,1.1113550877843543
