group,subject,q,fixation_count,saccade_count,total_duration_ms,kw_fix_duration_ms,inst_fix_duration_ms,bg_fix_duration_ms,kw_time_ratio,inst_time_ratio,bg_time_ratio,ttff_ms,ttff_ms_is_missing,scanpath_length,fixation_dispersion,revisit_kw_count,avg_revisit_interval,roi_trans_total,trans_kw_inst,trans_kw_bg,trans_inst_bg,fixation_amplitude_mean_deg,saccade_amplitude_mean_deg,saccade_maxvel_mean,saccade_meanvel_mean,RR_1D_x,DET_1D_x,ENT_1D_x,RR_2D_xy,DET_2D_xy,ENT_2D_xy
ad,ad_group_10,1,25,49,24453.0,16262.0,2445.0,3423.0,0.6650308755571913,0.0999877315666789,0.1399828241933505,2322.0,0,119.203102165822,14.926064612091722,6,1365.1666666666667,12,2,9,1,6.788901954606874,2.432716370731061,58.08988447746851,55.40379152782394,0.0494992016257802,0.7380254154447703,1.9429565175270247,0.0170803696714569,0.8149197355996223,2.022170160078051
ad,ad_group_11,1,38,52,29095.000000000004,22125.000000000007,856.0,4156.0,0.7604399381337001,0.029420862691184,0.142842412785702,489.0,0,135.67296303943832,14.315201906179697,8,871.2499999999995,15,3,12,0,6.708161296784951,2.609095443066121,64.93148369642896,62.4788475513941,0.0587302499281815,0.6924280962629622,1.6728178801148177,0.0117322608445848,0.7100881488736532,1.3809361473750226
ad,ad_group_12,1,44,81,22982.000000000007,15769.000000000004,1468.0,2323.0,0.6861456792272214,0.0638760769297711,0.1010791053868244,612.0,0,215.51768046733017,12.608191825396249,10,721.3000000000002,20,8,11,1,3.117217117887459,2.6607121045349404,69.43152360161567,64.87133545498006,0.0719039351851851,0.6938296445338699,1.7517891284230207,0.0143470293209876,0.6504201680672269,1.787016769283777
ad,ad_group_13,1,30,54,20174.0,14182.0,3057.0,1710.0,0.7029840388619014,0.1515316744324377,0.0847625656785962,1467.0,0,64.09475599153274,13.271529155314864,4,1498.0,9,4,4,1,4.374694245339399,1.1869399257691249,53.86194584659731,52.29527007858071,0.063872607866676,0.7407407407407407,1.9085622513444656,0.0181837440858696,0.6990291262135923,1.682802274489814
ad,ad_group_14,1,45,53,25679.0,20053.0,3550.0,367.0,0.7809104715915729,0.138245258771759,0.0142918337941508,2206.0,0,72.76156538874285,12.546258663137673,6,937.6666666666666,11,5,6,0,4.373605749895199,1.3728597243159029,75.15138836941863,72.83956442710584,0.066300689474888,0.7818301297847873,1.873595348165748,0.0169809060113932,0.7754971135343168,1.670587803046828
ad,ad_group_15,1,43,71,25185.000000000007,16381.000000000004,2934.0,1711.0,0.6504268413738336,0.1164979154258486,0.06793726424459,978.0,0,304.12004087866444,15.0351817794318,6,1467.333333333334,13,5,6,2,4.302643746865551,4.283380857445978,74.05100161052357,67.73972928649378,0.0564780528175365,0.7151981965057298,1.6799566961080732,0.0153317276575878,0.6608996539792388,1.3670203808325816
ad,ad_group_16,1,31,48,38752.0,36552.0,1345.0,489.0,0.9432287365813378,0.0347078860445912,0.0126187035507844,612.0,0,22.290369119595663,13.457622833652968,3,733.3333333333334,5,3,2,0,5.565801282793257,0.4643826899915763,53.47859782468893,52.847201071816016,0.0783606004385225,0.8281532501076194,2.4742611327483326,0.0276673975375274,0.8078517434772007,2.3909256791943663
ad,ad_group_17,1,33,48,24576.0,18582.0,1716.0,1467.0,0.756103515625,0.06982421875,0.0596923828125,1717.0,0,208.0603530519969,14.913801622513104,4,1498.5,8,2,5,1,4.0922711112338845,4.33459068858327,79.7827477210162,71.62757374093871,0.0516910042222502,0.7058344640434193,1.758405230129355,0.016874973698607,0.7173732335827099,1.7906543818615943
ad,ad_group_18,1,46,89,18340.0,11005.0,2570.0,977.0,0.6000545256270448,0.1401308615049073,0.0532715376226826,490.0,0,324.3042272421253,14.745687123801716,8,916.875,18,13,3,2,2.95468810306302,3.643867721821633,68.8302840307772,63.67093738550614,0.0384861004313883,0.5970199796816796,1.2547774095062794,0.0101265492838431,0.7168597168597168,1.0504427565626582
ad,ad_group_19,1,33,50,15044.0,7822.0,1839.0,2323.0,0.5199415049189046,0.1222414251528848,0.1544137197553842,983.0,0,129.78270167587712,13.943311758264072,7,1031.7142857142858,15,7,6,2,3.6303834430431263,2.595654033517542,75.91489049247622,68.00015892205619,0.046386922115785,0.6891133557800224,1.4981039929517388,0.0114014993752603,0.7077625570776256,1.165867260213873
