,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,RR-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,DET-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy,ENT-2D-xy
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Group,,,,,,,,,,,,,,,,,,,,,,,,
AD,100.0,0.021978743456505512,0.009779173034297525,0.0105783615741281,0.015366528027264376,0.0192414631587567,0.025234401943776675,0.0640070698144173,100.0,0.765068969703357,0.05492839988951354,0.6446700507614214,0.730137465889308,0.7586693638020718,0.8025928787703074,0.900804289544236,100.0,1.8286371878438594,0.3988689466150393,0.982091688221266,1.573012702742766,1.807086862922695,2.0568464214584865,2.8380475260665685
Control,100.0,0.06941654146301852,0.0494190427640128,0.0263836540368974,0.04007751965998917,0.0494531287919114,0.07023452559832115,0.2763578595990267,100.0,0.8708648548240694,0.05428723391869947,0.6568627450980392,0.8410219747140277,0.8779415542075834,0.9088111441555232,0.958904109589041,100.0,2.3862286048954173,0.5985698395354719,0.7219280948873623,2.0021356932818435,2.4569132052589593,2.7348746763236913,3.7261108901623343
MCI,105.0,0.040707492062502036,0.02265816835141227,0.011991355861721,0.0246933361818796,0.0341490138787436,0.0484382073336351,0.1316037312247139,105.0,0.7953401618090523,0.06838458205831467,0.6248012718600954,0.7466216216216216,0.7947537965945697,0.85,0.9626734414696112,105.0,2.031853402444915,0.5323018612538944,0.7219280948873623,1.7116467136778954,1.9404576942371323,2.396258645493651,3.831895880393619
