timestamp,x,y,time_diff,x_deg,y_deg,velocity_deg_s
1737616802948.0,0.211183,0.905262,0.0,-31.769869999999997,44.57882,0.0
1737616803062.0,0.21236,0.903503,114000.0,-31.6404,44.385329999999996,0.0020421998568855345
1737616803190.0,0.214982,0.897665,128000.0,-31.351979999999998,43.74315000000001,0.005499807174354147
1737616803315.0,0.252739,0.894466,125000.0,-27.198710000000002,43.391259999999996,0.03334520368748702
1737616803438.0,0.335409,0.897208,123000.0,-18.10501,43.69288,0.07397317637193035
1737616803560.0,0.342978,0.892995,122000.0,-17.27242,43.22945,0.007810462464211988
1737616803682.0,0.158098,0.719873,122000.0,-37.60922000000001,24.18603,0.2283691405600703
1737616803805.0,0.159553,0.718457,123000.0,-37.44917,24.03027,0.0018157072784125983
1737616803927.0,0.165488,0.712752,122000.0,-36.79632,23.402720000000006,0.0074225922270810514
1737616804049.0,0.158934,0.715075,122000.0,-37.51726,23.658250000000002,0.006269554545296845
1737616804171.0,0.307088,0.70162,122000.0,-21.220319999999997,22.178200000000004,0.1341312240198429
1737616804293.0,0.323177,0.692945,122000.0,-19.45053,21.223950000000002,0.016480811663585216
1737616804416.0,0.551899,0.506763,123000.0,5.708890000000003,0.743929999999996,0.26374911439189286
1737616804538.0,0.528152,0.656039,122000.0,3.096719999999995,17.164290000000005,0.13628553587326347
1737616804660.0,0.500346,0.678241,122000.0,0.03805999999999532,19.606509999999997,0.03208243162500922
1737616804782.0,0.502161,0.686096,122000.0,0.23770999999999654,20.470560000000006,0.007268983177429668
1737616804905.0,0.413414,0.670091,123000.0,-9.52446,18.71001,0.0806475787152597
1737616805027.0,0.314978,0.696335,122000.0,-20.352420000000002,21.596850000000003,0.09185396834881089
1737616805149.0,0.309745,0.695852,122000.0,-20.928050000000002,21.543720000000004,0.004738333767613703
1737616805272.0,0.296547,0.675273,123000.0,-22.37983,19.28003,0.021863657919247836
1737616805394.0,0.486859,0.582859,122000.0,-1.4455100000000014,9.114490000000002,0.1907537414539008
1737616805516.0,0.456094,0.67795,122000.0,-4.8296600000000005,19.574500000000008,0.09011335407742026
1737616805638.0,0.45342,0.699895,122000.0,-5.123800000000001,21.988450000000004,0.019932823460190843
1737616805761.0,0.458042,0.599247,123000.0,-4.615379999999999,10.917169999999997,0.09010526659231063
1737616805883.0,0.561342,0.569203,122000.0,6.747620000000001,7.612330000000002,0.09699867719281884
1737616806005.0,0.537268,0.668621,122000.0,4.099479999999996,18.54831,0.09222979959072347
1737616806127.0,0.523653,0.722582,122000.0,2.601830000000004,24.484019999999994,0.050178135195720064
1737616806249.0,0.281263,0.702146,122000.0,-24.06107,22.236060000000005,0.21932373286202567
1737616806372.0,0.271491,0.701563,123000.0,-25.135990000000003,22.171930000000007,0.008754726071527384
1737616806494.0,0.260728,0.712746,122000.0,-26.31992,23.40206,0.013994350565229543
1737616806616.0,0.258116,0.714777,122000.0,-26.607239999999997,23.62547,0.0029832553668740366
1737616806738.0,0.467066,0.690572,122000.0,-3.622740000000002,20.962919999999997,0.18965739715511504
1737616806861.0,0.244151,0.69046,123000.0,-28.14339,20.950599999999994,0.19935490321131027
1737616806983.0,0.253772,0.694367,122000.0,-27.08508,21.380369999999996,0.009362659158724092
1737616807105.0,0.447645,0.679321,122000.0,-5.7590499999999984,19.725309999999993,0.1753291485871528
1737616807227.0,0.440145,0.690557,122000.0,-6.5840499999999995,20.96127,0.012180399911531577
1737616807350.0,0.439214,0.687185,123000.0,-6.68646,20.590350000000004,0.003128438535230548
1737616807595.0,0.56548,0.543262,245000.0,7.202799999999998,4.758820000000003,0.08596163392524041
1737616807716.0,0.515353,0.659941,121000.0,1.6888299999999945,17.59351,0.115446331740756
1737616807839.0,0.503699,0.675791,123000.0,0.40689000000000086,19.337010000000003,0.017593996381683626
1737616807961.0,0.494637,0.685316,122000.0,-0.5899300000000007,20.384760000000004,0.011853916239524073
1737616808206.0,0.163239,0.460086,123000.0,-37.04371,-4.3905400000000006,0.03530176523882992
1737616808328.0,0.171237,0.460443,122000.0,-36.16393,-4.351270000000001,0.007218491761227296
1737616808451.0,0.138448,0.42122,123000.0,-39.77072,-8.665800000000003,0.04571976590254324
1737616808573.0,0.132949,0.416608,122000.0,-40.37561,-9.173120000000003,0.006471079141688466
1737616808695.0,0.134037,0.407754,122000.0,-40.255930000000006,-10.14706,0.008043161692608
1737616808817.0,0.355474,0.406372,122000.0,-15.897859999999998,-10.299079999999998,0.19966019981804092
1737616808939.0,0.351565,0.446083,122000.0,-16.327849999999998,-5.930869999999999,0.03597805140677793
1737616809061.0,0.352107,0.472142,122000.0,-16.26823,-3.0643799999999994,0.023500901228237416
1737616809184.0,0.35412,0.470051,123000.0,-16.0468,-3.2943900000000004,0.00259572304151827
1737616809306.0,0.503207,0.43921,122000.0,0.3527699999999956,-6.686900000000001,0.1372687814997602
1737616809429.0,0.620837,0.45745,123000.0,13.292069999999997,-4.680499999999998,0.10645475351018265
1737616809550.0,0.578277,0.416588,121000.0,8.610470000000005,-9.17532,0.05363680002904133
1737616809673.0,0.576142,0.466091,123000.0,8.375620000000005,-3.7299900000000026,0.04431213036302588
1737616809795.0,0.5787,0.469,122000.0,8.657,-3.410000000000003,0.003492691187232795
1737616809918.0,0.324611,0.382271,123000.0,-19.292790000000004,-12.950189999999997,0.2401067780677924
1737616810040.0,0.335684,0.430989,122000.0,-18.07476,-7.5912099999999985,0.04504638217120874
1737616810284.0,0.445957,0.40802,244000.0,-5.944730000000001,-10.1178,0.050780207579423364
