ADQ_ID,EventType,StartIndex,EndIndex,Duration_ms,Amplitude_deg,MaxVel,MeanVel,ROI,group,subject
n21q4,saccade,1670,1670,0.0,0.0,12.950715223237358,12.950715223237358,,control,control_group_21
n21q4,saccade,1671,1671,0.0,0.0,95.85770197589319,95.85770197589319,,control,control_group_21
n21q4,saccade,1672,1675,33.0,0.5738184092550542,29.083861930517692,20.401810400123374,,control,control_group_21
n21q4,saccade,1676,1676,0.0,0.0,114.96590328879384,114.96590328879384,,control,control_group_21
n21q4,saccade,1677,1680,33.0,0.5189491431730067,21.354492511254712,15.620124357424745,,control,control_group_21
n21q4,saccade,1681,1682,12.0,1.65657196426838,154.81710774196358,146.43238571549762,,control,control_group_21
n21q4,saccade,1683,1691,89.0,1.2090345851132662,36.650262736817254,17.85542895764703,,control,control_group_21
n21q4,saccade,1692,1692,0.0,0.0,53.66905641548809,53.66905641548809,,control,control_group_21
n21q4,saccade,1693,1693,0.0,0.0,11.933697007229545,11.933697007229545,,control,control_group_21
n21q4,saccade,1694,1694,0.0,0.0,40.95239132890253,40.95239132890253,,control,control_group_21
n21q4,saccade,1695,1699,44.0,0.5123341397955081,20.211658283735666,12.932493806296375,,control,control_group_21
n21q4,saccade,1700,1700,0.0,0.0,88.36152103715749,88.36152103715749,,control,control_group_21
n21q4,saccade,1701,1701,0.0,0.0,9.564717705891159,9.564717705891159,,control,control_group_21
n21q4,saccade,1702,1703,11.0,0.856448415259204,86.92721806010707,82.39308245092644,,control,control_group_21
n21q4,saccade,1704,1707,28.0,0.8176957791257079,35.499421298100046,29.504123082451574,,control,control_group_21
n21q4,saccade,1708,1708,0.0,0.0,108.00581465828591,108.00581465828591,,control,control_group_21
n21q4,saccade,1709,1710,12.0,0.44030382601108314,36.6919855009236,25.0909748853529,,control,control_group_21
n21q4,saccade,1711,1711,0.0,0.0,63.61888367717984,63.61888367717984,,control,control_group_21
n21q4,saccade,1712,1713,11.0,0.34792046504912616,36.36982683670948,33.999480011496836,,control,control_group_21
n21q4,saccade,1714,1717,34.0,0.724014818909117,77.7237730684763,58.31490698722089,,control,control_group_21
