x,y,z,abs_datetime,milliseconds,time_diff,x_deg,y_deg,x_deg_diff,y_deg_diff,dist_deg,velocity_deg_s,avg_velocity_deg_s
0.19234,0.924282,0.0,2025-01-30 13:08:23.036,243.0,122.0,-21.5362,29.699740000000002,0.11354000000000042,-0.5379499999999986,0.549801358765144,4.506568514468394,31.129448854473466
0.190259,0.923335,0.0,2025-01-30 13:08:23.158,365.0,122.0,-21.68187,29.63345,-0.14566999999999908,-0.06629000000000218,0.16004409704828235,1.3118368610514948,31.129448854473466
0.174261,0.935999,0.0,2025-01-30 13:08:23.281,488.0,123.0,-22.80173,30.519930000000002,-1.1198599999999992,0.8864800000000024,1.4282623043404885,11.611888653174702,31.129448854473466
0.173666,0.937106,0.0,2025-01-30 13:08:23.403,610.0,122.0,-22.84338,30.59742,-0.04165000000000063,0.0774899999999974,0.08797398820105662,0.721098263943087,31.129448854473466
0.179605,0.936445,0.0,2025-01-30 13:08:23.525,732.0,122.0,-22.42765,30.55115,0.41572999999999993,-0.04626999999999981,0.41829695887013085,3.4286635972961546,31.129448854473466
0.228283,0.940587,0.0,2025-01-30 13:08:23.647,854.0,122.0,-19.02019,30.841089999999998,3.4074600000000004,0.28993999999999787,3.4197732169253565,28.03092800758489,31.129448854473466
0.235159,0.942421,0.0,2025-01-30 13:08:23.770,977.0,123.0,-18.53887,30.969469999999998,0.4813200000000002,0.12837999999999994,0.49814693294248047,4.049975064573012,31.129448854473466
0.342542,0.885581,0.0,2025-01-30 13:08:23.892,1099.0,122.0,-11.02206,26.990669999999998,7.5168099999999995,-3.9787999999999997,8.504897531193423,69.71227484584773,31.129448854473466
0.345891,0.892627,0.0,2025-01-30 13:08:24.014,1221.0,122.0,-10.78763,27.483889999999995,0.2344299999999997,0.4932199999999973,0.5460983366574167,4.476215874241121,31.129448854473466
0.298593,0.83053,0.0,2025-01-30 13:08:24.136,1343.0,122.0,-14.09849,23.1371,-3.31086,-4.346789999999995,5.464098941609674,44.78769624270224,31.129448854473466
0.281744,0.817958,0.0,2025-01-30 13:08:24.259,1466.0,123.0,-15.27792,22.257059999999996,-1.17943,-0.8800400000000046,1.471572467294767,11.964003799144448,31.129448854473466
0.228177,0.7291,0.0,2025-01-30 13:08:24.381,1588.0,122.0,-19.027610000000003,16.037,-3.749690000000003,-6.220059999999997,7.2628728131298,59.531744369916396,31.129448854473466
0.131057,0.720512,0.0,2025-01-30 13:08:24.504,1711.0,123.0,-25.82601,15.435840000000002,-6.798399999999997,-0.6011599999999966,6.8249275384871275,55.48721576005795,31.129448854473466
0.102853,0.719809,0.0,2025-01-30 13:08:24.626,1833.0,122.0,-27.80029,15.386630000000002,-1.9742800000000003,-0.04921000000000042,1.974893197745134,16.18764916184536,31.129448854473466
0.110176,0.7324,0.0,2025-01-30 13:08:24.748,1955.0,122.0,-27.28768,16.268000000000004,0.5126099999999987,0.8813700000000022,1.0195989844051447,8.357368724632334,31.129448854473466
0.149832,0.727779,0.0,2025-01-30 13:08:24.870,2077.0,122.0,-24.511760000000002,15.944529999999997,2.7759199999999993,-0.3234700000000075,2.79470296942269,22.907401388710575,31.129448854473466
0.294644,0.688295,0.0,2025-01-30 13:08:24.992,2199.0,122.0,-14.37492,13.18065,10.136840000000003,-2.763879999999997,10.506881451696314,86.12197911226487,31.129448854473466
0.311005,0.684506,0.0,2025-01-30 13:08:25.115,2322.0,123.0,-13.229650000000001,12.915419999999996,1.1452699999999982,-0.2652300000000043,1.1755808461352193,9.557567854757881,31.129448854473466
